Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2021/11/08,180,SBIBD86,46.17,1025.0,1025.0,1025.0,1025.0,"1,025.00",35.00,"1,025.00","35,875.00",2,0.0,0.0,0.0,0.0,0.0,"1,071.00","1,011.00",,
2021/11/14,247,SBIBD86,73.7,1052.0,1052.0,1052.0,1052.0,"1,052.00",200.00,"1,050.00","210,400.00",3,2.00,0.00,0.19,0.0,0.0,"1,073.10",883.50,964.98,994.08
2021/11/16,180,SBIBD86,46.48,1005.0,1005.0,1001.0,1001.0,"1,003.89",90.00,"1,025.00","90,350.00",3,-24.00,4.00,-2.34,0.4,-0.29,"1,071.00","1,001.00",,
2021/11/25,183,SBIBD86,45.88,1010.0,1010.0,1010.0,1010.0,"1,010.00",50.00,"1,001.00","50,500.00",1,9.0,0.0,0.9,0.0,0.0,"1,071.00","1,001.00",,
2021/12/09,182,SBIBD86,30.39,990.0,990.0,990.0,990.0,990.00,25.00,"1,010.00","24,750.00",1,-20.0,0.0,-1.98,0.0,0.0,"1,071.00",990.00,,
2021/12/26,247,SBIBD86,73.7,1052.0,1052.0,1052.0,1052.0,"1,052.00",200.00,"1,050.00","210,400.00",3,2.00,0.00,0.19,0.0,0.0,"1,073.10",883.50,964.98,994.08
2021/12/27,187,SBIBD86,43.65,1000.0,1010.0,1000.0,1010.0,"1,002.73",550.00,990.00,"551,500.00",2,20.0,10.00,2.02,1.0,0.72,"1,071.00",990.00,,
2021/12/28,181,SBIBD86,56.01,1021.0,1025.0,1021.0,1025.0,"1,024.08",390.00,"1,010.00","399,390.00",2,15.0,4.0,1.49,0.39,0.09,"1,068.00",990.00,,
2022/01/06,188,SBIBD86,58.46,1004.5,1024.5,1004.5,1024.5,"1,021.89",230.00,"1,025.00","235,035.00",2,-0.50,20.00,-0.05,1.99,0.25,"1,068.00",990.00,,
2022/01/09,189,SBIBD86,55.33,1010.0,1010.0,1010.0,1010.0,"1,010.00",20.00,"1,024.50","20,200.00",1,-14.5,0.00,-1.42,0.0,0.0,"1,068.00",990.00,,
2022/01/10,188,SBIBD86,54.07,1010.0,1010.0,1010.0,1010.0,"1,010.00",20.00,"1,010.00","20,200.00",1,0.0,0.00,0.0,0.0,0.0,"1,068.00",990.00,,
2022/01/19,179,SBIBD86,57.06,1000.0,1000.0,1000.0,1000.0,"1,000.00",620.00,"1,010.00","620,000.00",2,-10.0,0.0,-0.99,0.0,0.0,"1,068.00",990.00,,
2022/01/23,182,SBIBD86,49.06,1000.0,1000.0,1000.0,1000.0,"1,000.00",25.00,"1,000.00","25,000.00",1,0.0,0.00,0.0,0.0,0.0,"1,068.00",990.00,,
2022/01/30,180,SBIBD86,52.26,1000.0,1000.0,1000.0,1000.0,"1,000.00",125.00,"1,000.00","125,000.00",2,0.0,0.0,0.0,0.0,0.0,"1,068.00",990.00,,
2022/02/01,247,SBIBD86,73.7,1052.0,1052.0,1052.0,1052.0,"1,052.00",200.00,"1,050.00","210,400.00",3,2.00,0.00,0.19,0.0,0.0,"1,073.10",883.50,964.98,994.08
2022/02/09,175,SBIBD86,44.19,980.0,980.0,962.5,962.5,974.17,75.00,"1,000.00","73,062.50",2,-37.5,17.5,-3.75,1.82,-1.21,"1,068.00",962.50,,
2022/02/10,247,SBIBD86,73.7,1052.0,1052.0,1052.0,1052.0,"1,052.00",200.00,"1,050.00","210,400.00",3,2.00,0.00,0.19,0.0,0.0,"1,073.10",883.50,964.98,994.08
2022/02/14,247,SBIBD86,73.7,1052.0,1052.0,1052.0,1052.0,"1,052.00",200.00,"1,050.00","210,400.00",3,2.00,0.00,0.19,0.0,0.0,"1,073.10",883.50,964.98,994.08
2022/02/15,247,SBIBD86,73.7,1052.0,1052.0,1052.0,1052.0,"1,052.00",200.00,"1,050.00","210,400.00",3,2.00,0.00,0.19,0.0,0.0,"1,073.10",883.50,964.98,994.08
2022/02/20,247,SBIBD86,73.7,1052.0,1052.0,1052.0,1052.0,"1,052.00",200.00,"1,050.00","210,400.00",3,2.00,0.00,0.19,0.0,0.0,"1,073.10",883.50,964.98,994.08
2022/03/07,247,SBIBD86,73.7,1052.0,1052.0,1052.0,1052.0,"1,052.00",200.00,"1,050.00","210,400.00",3,2.00,0.00,0.19,0.0,0.0,"1,073.10",883.50,964.98,994.08
2022/03/15,247,SBIBD86,73.7,1052.0,1052.0,1052.0,1052.0,"1,052.00",200.00,"1,050.00","210,400.00",3,2.00,0.00,0.19,0.0,0.0,"1,073.10",883.50,964.98,994.08
2022/03/22,186,SBIBD86,36.54,940.0,940.0,940.0,940.0,940.00,50.00,940.00,"47,000.00",1,0.0,0.0,0.0,0.0,0.0,"1,068.00",940.00,,
2022/03/27,183,SBIBD86,36.51,932.0,932.0,932.0,932.0,932.00,25.00,940.00,"23,300.00",1,-8.0,0.00,-0.85,0.0,0.0,"1,068.00",932.00,,
2022/03/29,177,SBIBD86,40.55,929.7,929.7,929.7,929.7,929.70,25.00,932.00,"23,242.50",1,-2.3,0.0,-0.25,0.0,0.0,"1,068.00",929.70,,
2022/04/11,183,SBIBD86,40.86,930.6,930.6,930.5,930.5,930.55,50.00,929.70,"46,527.50",2,0.8,0.1,0.09,0.01,-0.01,"1,068.00",929.70,,
2022/04/21,182,SBIBD86,34.91,931.1,931.1,931.1,931.1,931.10,25.00,930.50,"23,277.50",1,0.6,0.00,0.06,0.0,0.0,"1,068.00",929.70,,
2022/04/26,179,SBIBD86,41.08,931.5,931.5,931.2,931.2,931.35,50.00,931.10,"46,567.50",2,0.1,0.3,0.01,0.03,-0.02,"1,068.00",929.70,,
2022/05/18,247,SBIBD86,73.7,1052.0,1052.0,1052.0,1052.0,"1,052.00",200.00,"1,050.00","210,400.00",3,2.00,0.00,0.19,0.0,0.0,"1,073.10",883.50,964.98,994.08
2022/05/21,247,SBIBD86,73.7,1052.0,1052.0,1052.0,1052.0,"1,052.00",200.00,"1,050.00","210,400.00",3,2.00,0.00,0.19,0.0,0.0,"1,073.10",883.50,964.98,994.08
2022/05/26,247,SBIBD86,73.7,1052.0,1052.0,1052.0,1052.0,"1,052.00",200.00,"1,050.00","210,400.00",3,2.00,0.00,0.19,0.0,0.0,"1,073.10",883.50,964.98,994.08
2022/05/30,177,SBIBD86,36.89,958.8,958.8,958.8,958.8,958.80,15.00,940.00,"14,382.00",1,18.8,0.0,2.0,0.0,0.0,"1,065.00",929.70,,
2022/06/06,247,SBIBD86,73.7,1052.0,1052.0,1052.0,1052.0,"1,052.00",200.00,"1,050.00","210,400.00",3,2.00,0.00,0.19,0.0,0.0,"1,073.10",883.50,964.98,994.08
2022/06/08,182,SBIBD86,43.06,960.0,960.0,960.0,960.0,960.00,40.00,958.80,"38,400.00",2,1.2,0.00,0.13,0.0,0.0,"1,065.00",929.70,,
2022/06/09,180,SBIBD86,38.45,940.8,940.8,940.8,940.8,940.80,25.00,960.00,"23,520.00",1,-19.2,0.0,-2.0,0.0,0.0,"1,065.00",929.70,,
2022/06/10,247,SBIBD86,73.7,1052.0,1052.0,1052.0,1052.0,"1,052.00",200.00,"1,050.00","210,400.00",3,2.00,0.00,0.19,0.0,0.0,"1,073.10",883.50,964.98,994.08
2022/06/13,247,SBIBD86,73.7,1052.0,1052.0,1052.0,1052.0,"1,052.00",200.00,"1,050.00","210,400.00",3,2.00,0.00,0.19,0.0,0.0,"1,073.10",883.50,964.98,994.08
2022/06/14,180,SBIBD86,35.7,935.1,935.1,935.0,935.0,935.05,50.00,940.80,"46,752.50",2,-5.8,0.1,-0.62,0.01,-0.01,"1,065.00",929.70,,
2022/06/17,173,SBIBD86,33.88,935.0,935.0,935.0,935.0,935.00,50.00,935.00,"46,750.00",1,0.0,0.0,0.0,0.0,0.0,"1,065.00",929.70,,
2022/06/19,175,SBIBD86,32.05,953.7,953.7,953.7,953.7,953.70,25.00,935.00,"23,842.50",1,18.7,0.00,2.0,0.0,0.0,"1,065.00",929.70,,
2022/06/20,179,SBIBD86,32.64,934.7,934.7,934.7,934.7,934.70,25.00,953.70,"23,367.50",1,-19.0,0.00,-1.99,0.0,0.0,"1,065.00",929.70,,
2022/06/21,180,SBIBD86,36.08,935.0,935.0,935.0,935.0,935.00,30.00,934.70,"28,050.00",1,0.3,0.00,0.03,0.0,0.0,"1,065.00",929.70,,
2022/06/26,247,SBIBD86,73.7,1052.0,1052.0,1052.0,1052.0,"1,052.00",200.00,"1,050.00","210,400.00",3,2.00,0.00,0.19,0.0,0.0,"1,073.10",883.50,964.98,994.08
2022/06/28,247,SBIBD86,73.7,1052.0,1052.0,1052.0,1052.0,"1,052.00",200.00,"1,050.00","210,400.00",3,2.00,0.00,0.19,0.0,0.0,"1,073.10",883.50,964.98,994.08
2022/07/07,247,SBIBD86,73.7,1052.0,1052.0,1052.0,1052.0,"1,052.00",200.00,"1,050.00","210,400.00",3,2.00,0.00,0.19,0.0,0.0,"1,073.10",883.50,964.98,994.08
2022/07/15,184,SBIBD86,42.98,953.7,953.7,953.7,953.7,953.70,10.00,935.00,"9,537.00",1,18.7,0.0,2.0,0.0,0.0,"1,065.00",929.70,,
2022/07/18,167,SBIBD86,36.87,934.7,934.9,934.7,934.9,934.79,45.00,953.70,"42,065.50",2,-18.80,0.2,-1.97,0.02,0.01,"1,065.00",929.70,,
2022/07/21,177,SBIBD86,36.03,916.3,916.3,916.3,916.3,916.30,25.00,934.90,"22,907.50",1,-18.6,0.0,-1.99,0.0,0.0,"1,065.00",916.30,,
2022/07/27,178,SBIBD86,34.53,898.0,898.0,898.0,898.0,898.00,25.00,916.30,"22,450.00",1,-18.3,0.0,-2.0,0.0,0.0,"1,065.00",898.00,,
2022/07/31,174,SBIBD86,36.32,915.9,916.0,915.9,916.0,915.95,65.00,898.00,"59,537.00",2,18.0,0.1,2.0,0.01,0.01,"1,060.00",898.00,,
2022/08/09,247,SBIBD86,73.7,1052.0,1052.0,1052.0,1052.0,"1,052.00",200.00,"1,050.00","210,400.00",3,2.00,0.00,0.19,0.0,0.0,"1,073.10",883.50,964.98,994.08
2022/08/14,180,SBIBD86,27.05,920.0,920.0,920.0,920.0,920.00,25.00,916.00,"23,000.00",1,4.0,0.0,0.44,0.0,0.0,"1,060.00",898.00,,
2022/08/21,247,SBIBD86,73.7,1052.0,1052.0,1052.0,1052.0,"1,052.00",200.00,"1,050.00","210,400.00",3,2.00,0.00,0.19,0.0,0.0,"1,073.10",883.50,964.98,994.08
2022/08/22,247,SBIBD86,73.7,1052.0,1052.0,1052.0,1052.0,"1,052.00",200.00,"1,050.00","210,400.00",3,2.00,0.00,0.19,0.0,0.0,"1,073.10",883.50,964.98,994.08
