Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
2021/11/14,248,SBID83,45.83,1045.5,1045.5,1045.5,1045.5,"1,045.50",25.00,"1,025.00","26,137.50",1,20.50,0.00,2.0,0.0,0.0,"1,018.07",995.42,"1,133.00",900.00
2021/12/26,248,SBID83,45.83,1045.5,1045.5,1045.5,1045.5,"1,045.50",25.00,"1,025.00","26,137.50",1,20.50,0.00,2.0,0.0,0.0,"1,018.07",995.42,"1,133.00",900.00
2022/02/01,248,SBID83,45.83,1045.5,1045.5,1045.5,1045.5,"1,045.50",25.00,"1,025.00","26,137.50",1,20.50,0.00,2.0,0.0,0.0,"1,018.07",995.42,"1,133.00",900.00
2022/02/10,248,SBID83,45.83,1045.5,1045.5,1045.5,1045.5,"1,045.50",25.00,"1,025.00","26,137.50",1,20.50,0.00,2.0,0.0,0.0,"1,018.07",995.42,"1,133.00",900.00
2022/02/14,248,SBID83,45.83,1045.5,1045.5,1045.5,1045.5,"1,045.50",25.00,"1,025.00","26,137.50",1,20.50,0.00,2.0,0.0,0.0,"1,018.07",995.42,"1,133.00",900.00
2022/02/15,248,SBID83,45.83,1045.5,1045.5,1045.5,1045.5,"1,045.50",25.00,"1,025.00","26,137.50",1,20.50,0.00,2.0,0.0,0.0,"1,018.07",995.42,"1,133.00",900.00
2022/02/20,248,SBID83,45.83,1045.5,1045.5,1045.5,1045.5,"1,045.50",25.00,"1,025.00","26,137.50",1,20.50,0.00,2.0,0.0,0.0,"1,018.07",995.42,"1,133.00",900.00
2022/03/07,248,SBID83,45.83,1045.5,1045.5,1045.5,1045.5,"1,045.50",25.00,"1,025.00","26,137.50",1,20.50,0.00,2.0,0.0,0.0,"1,018.07",995.42,"1,133.00",900.00
2022/03/15,248,SBID83,45.83,1045.5,1045.5,1045.5,1045.5,"1,045.50",25.00,"1,025.00","26,137.50",1,20.50,0.00,2.0,0.0,0.0,"1,018.07",995.42,"1,133.00",900.00
2022/05/18,248,SBID83,45.83,1045.5,1045.5,1045.5,1045.5,"1,045.50",25.00,"1,025.00","26,137.50",1,20.50,0.00,2.0,0.0,0.0,"1,018.07",995.42,"1,133.00",900.00
2022/05/21,248,SBID83,45.83,1045.5,1045.5,1045.5,1045.5,"1,045.50",25.00,"1,025.00","26,137.50",1,20.50,0.00,2.0,0.0,0.0,"1,018.07",995.42,"1,133.00",900.00
2022/05/26,248,SBID83,45.83,1045.5,1045.5,1045.5,1045.5,"1,045.50",25.00,"1,025.00","26,137.50",1,20.50,0.00,2.0,0.0,0.0,"1,018.07",995.42,"1,133.00",900.00
2022/06/06,248,SBID83,45.83,1045.5,1045.5,1045.5,1045.5,"1,045.50",25.00,"1,025.00","26,137.50",1,20.50,0.00,2.0,0.0,0.0,"1,018.07",995.42,"1,133.00",900.00
2022/06/10,248,SBID83,45.83,1045.5,1045.5,1045.5,1045.5,"1,045.50",25.00,"1,025.00","26,137.50",1,20.50,0.00,2.0,0.0,0.0,"1,018.07",995.42,"1,133.00",900.00
2022/06/13,248,SBID83,45.83,1045.5,1045.5,1045.5,1045.5,"1,045.50",25.00,"1,025.00","26,137.50",1,20.50,0.00,2.0,0.0,0.0,"1,018.07",995.42,"1,133.00",900.00
2022/06/26,248,SBID83,45.83,1045.5,1045.5,1045.5,1045.5,"1,045.50",25.00,"1,025.00","26,137.50",1,20.50,0.00,2.0,0.0,0.0,"1,018.07",995.42,"1,133.00",900.00
2022/06/28,248,SBID83,45.83,1045.5,1045.5,1045.5,1045.5,"1,045.50",25.00,"1,025.00","26,137.50",1,20.50,0.00,2.0,0.0,0.0,"1,018.07",995.42,"1,133.00",900.00
2022/07/07,248,SBID83,45.83,1045.5,1045.5,1045.5,1045.5,"1,045.50",25.00,"1,025.00","26,137.50",1,20.50,0.00,2.0,0.0,0.0,"1,018.07",995.42,"1,133.00",900.00
2022/08/09,248,SBID83,45.83,1045.5,1045.5,1045.5,1045.5,"1,045.50",25.00,"1,025.00","26,137.50",1,20.50,0.00,2.0,0.0,0.0,"1,018.07",995.42,"1,133.00",900.00
2022/08/21,248,SBID83,45.83,1045.5,1045.5,1045.5,1045.5,"1,045.50",25.00,"1,025.00","26,137.50",1,20.50,0.00,2.0,0.0,0.0,"1,018.07",995.42,"1,133.00",900.00
