Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2021/10/28,177,SCB,56.99,538.0,538.0,531.0,533.0,532.97,"7,724.00",538.00,"4,116,654.90",103,-5.0,7.0,-0.93,1.32,0.01,730.00,515.00,,
2021/10/31,186,SCB,47.39,525.0,535.0,525.0,531.0,530.26,"23,387.00",533.00,"12,401,187.20",203,-2.00,10.00,-0.38,1.9,0.14,730.00,515.00,,
2021/11/01,180,SCB,47.56,532.0,535.0,527.1,534.4,532.58,"13,345.00",531.00,"7,107,327.10",131,3.4,7.9,0.64,1.5,0.34,730.00,515.00,,
2021/11/02,186,SCB,52.77,535.0,542.0,530.0,538.0,537.60,"11,329.00",534.40,"6,090,434.90",128,3.6,12.0,0.67,2.26,0.07,730.00,515.00,,
2021/11/03,185,SCB,60.91,547.0,547.0,536.1,537.0,537.87,"14,381.00",538.00,"7,735,121.00",105,-1.0,10.9,-0.19,2.03,-0.16,730.00,515.00,,
2021/11/08,184,SCB,58.99,547.7,558.0,530.0,535.0,538.05,"7,622.00",537.00,"4,100,985.50",90,-2.0,28.0,-0.37,5.28,-0.57,730.00,515.00,,
2021/11/09,179,SCB,50.07,545.0,545.0,529.1,534.0,531.34,"9,439.00",535.00,"5,015,274.90",118,-1.0,15.9,-0.19,3.01,0.5,730.00,515.00,,
2021/11/11,180,SCB,43.1,538.0,538.0,520.0,525.0,523.99,"7,607.00",534.00,"3,985,960.10",126,-9.0,18.0,-1.69,3.46,0.19,730.00,515.00,,
2021/11/14,251,SCB,61.58,653.0,660.0,646.1,659.9,655.06,"63,847.00",653.00,"41,823,872.40",387,6.90,13.90,1.06,2.15,0.73,672.00,497.40,545.62,537.95
2021/11/15,184,SCB,44.01,507.8,525.0,507.8,520.0,518.63,"9,612.00",518.00,"4,985,025.00",111,2.00,17.20,0.39,3.39,0.26,730.00,507.80,,
2021/11/16,182,SCB,44.32,520.0,530.0,518.2,528.0,523.51,"11,875.00",520.00,"6,216,695.30",165,8.00,11.80,1.54,2.28,0.85,730.00,507.80,,
2021/11/17,179,SCB,57.15,535.0,535.0,525.0,525.0,529.01,"12,407.00",528.00,"6,563,471.50",143,-3.00,10.00,-0.57,1.9,-0.76,730.00,507.80,,
2021/11/18,178,SCB,59.54,530.0,535.0,517.0,520.0,522.04,"9,848.00",525.00,"5,141,033.10",141,-5.0,18.0,-0.95,3.48,-0.39,730.00,507.80,,
2021/11/21,181,SCB,57.91,530.0,530.0,520.0,525.0,524.25,"11,567.00",520.00,"6,063,967.80",158,5.0,10.0,0.96,1.92,0.14,730.00,507.80,,
2021/11/22,182,SCB,50.64,529.0,530.0,524.0,527.0,526.45,"11,595.00",525.00,"6,104,241.60",161,2.0,6.0,0.38,1.15,0.1,730.00,507.80,,
2021/11/23,183,SCB,47.45,525.0,527.0,523.1,525.0,525.00,"13,563.00",527.00,"7,120,607.70",117,-2.0,3.9,-0.38,0.75,0.0,730.00,507.80,,
2021/11/24,183,SCB,63.84,522.0,528.0,522.0,523.4,523.86,"21,727.00",525.00,"11,381,849.90",114,-1.60,6.0,-0.3,1.15,-0.09,730.00,507.80,,
2021/11/25,185,SCB,65.56,521.0,535.5,520.0,535.1,527.78,"36,086.00",523.40,"19,045,299.50",307,11.7,15.5,2.24,2.98,1.37,730.00,507.80,,
2021/11/28,187,SCB,46.1,476.8,485.0,464.6,476.2,475.50,"34,180.00",486.45,"16,252,477.90",318,-10.25,20.4,-2.11,4.39,0.15,730.00,464.60,,
