Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2021/10/28,182,SFMF,58.47,10.78,11.2,10.78,11.12,11.11,"59,505.00",11.00,"661,255.00",19,0.12,0.42,1.09,3.9,0.07,20.00,9.15,,
2021/10/31,191,SFMF,56.85,11.34,11.55,11.34,11.37,11.43,"63,979.00",11.12,"731,575.73",19,0.25,0.21,2.25,1.85,-0.57,20.00,9.22,,
2021/11/01,185,SFMF,54.51,11.37,11.8,11.21,11.21,11.44,"70,649.00",11.37,"808,573.76",19,-0.16,0.59,-1.41,5.26,-2.1,20.00,9.22,,
2021/11/02,190,SFMF,59.52,11.07,11.38,11.07,11.38,11.20,"13,700.00",11.21,"153,466.00",6,0.17,0.31,1.52,2.8,1.57,20.00,9.22,,
2021/11/03,189,SFMF,55.57,11.45,11.59,11.39,11.5,11.44,"23,420.00",11.38,"268,000.00",10,0.12,0.2,1.05,1.76,0.49,20.00,9.22,,
2021/11/08,189,SFMF,50.8,11.6,11.6,11.4,11.5,11.54,"18,350.00",11.50,"211,715.00",8,0.0,0.2,0.0,1.75,-0.33,20.00,9.39,,
2021/11/09,184,SFMF,49.9,11.4,11.41,11.23,11.23,11.31,"36,500.00",11.50,"412,791.00",17,-0.27,0.18,-2.35,1.6,-0.71,20.00,9.39,,
2021/11/11,185,SFMF,40.7,11.06,11.28,11.06,11.13,11.13,"18,575.00",11.23,"206,765.25",16,-0.1,0.22,-0.89,1.99,-0.01,20.00,9.39,,
2021/11/14,257,SFMF,56.99,10.77,11.06,10.75,10.75,10.90,"15,310.00",10.85,"166,827.00",13,-0.10,0.31,-0.92,2.88,-1.36,11.67,8.80,9.86,9.74
2021/11/15,189,SFMF,42.96,11.4,11.4,11.12,11.3,11.19,"28,700.00",11.20,"321,130.50",11,0.10,0.28,0.89,2.52,0.98,20.00,9.39,,
2021/11/16,187,SFMF,48.24,11.12,11.37,11.12,11.34,11.30,"25,030.00",11.30,"282,796.60",10,0.04,0.25,0.35,2.25,0.37,20.00,9.39,,
2021/11/17,184,SFMF,49.94,11.5,11.5,11.19,11.19,11.26,"29,500.00",11.34,"332,306.00",12,-0.15,0.31,-1.32,2.77,-0.67,20.00,9.39,,
2021/11/18,183,SFMF,45.04,11.39,11.39,11.0,11.09,11.07,"34,929.00",11.19,"386,789.30",17,-0.1,0.39,-0.89,3.55,0.15,20.00,9.39,,
2021/11/21,186,SFMF,36.55,11.31,11.31,11.16,11.2,11.29,"5,000.00",11.09,"56,432.00",9,0.11,0.15,0.99,1.34,-0.77,20.00,9.39,,
2021/11/22,186,SFMF,43.37,11.21,11.32,11.21,11.32,11.28,"19,247.00",11.20,"217,037.70",8,0.12,0.11,1.07,0.98,0.38,20.00,9.39,,
