Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2025/08/25,257,SHEL,33.34,305.0,307.0,300.1,306.13,307.00,-0.87,0.0,303.92,"178,204.00",302.92,"54,159,547.20",529,3.21,6.9,1.06,2.3,0.72,347.80,222.10,,
2025/08/26,263,SHEL,32.23,310.0,310.0,303.0,304.39,304.50,-0.11,0.0,304.35,"82,220.00",306.13,"25,024,055.00",314,-1.74,7.0,-0.57,2.31,0.01,347.80,222.10,,
2025/08/27,262,SHEL,43.01,305.0,318.9,304.0,317.24,318.20,-0.96,0.0,313.16,"472,277.00",304.39,"147,899,578.20","1,372",12.85,14.9,4.22,4.9,1.29,347.80,222.10,,
2025/08/28,262,SHEL,40.05,320.0,321.0,307.0,307.77,308.00,-0.23,0.0,312.82,"421,934.00",317.24,"131,989,029.80","1,302",-9.47,14.0,-2.99,4.56,-1.64,347.80,222.10,,
2025/08/31,262,SHEL,39.23,310.0,310.0,303.1,305.65,306.00,-0.35,0.0,306.34,"219,214.00",307.77,"67,154,170.60",707,-2.12,6.9,-0.69,2.28,-0.23,347.80,222.10,,
2025/09/01,267,SHEL,36.05,306.0,308.4,303.0,306.47,307.50,-1.03,0.0,305.47,"143,797.00",305.65,"43,925,792.90",537,0.82,5.4,0.27,1.78,0.33,347.80,222.10,,
2025/09/02,266,SHEL,36.7,309.0,309.0,305.0,305.57,305.50,0.07,0.0,305.76,"114,666.00",306.47,"35,060,710.30",439,-0.9,4.0,-0.29,1.31,-0.06,347.80,222.10,,
2025/09/03,267,SHEL,26.9,305.0,308.0,304.1,304.85,304.90,-0.05,0.0,305.52,"181,896.00",305.57,"55,572,073.70",489,-0.72,3.9,-0.24,1.28,-0.22,347.80,222.10,,
2025/09/04,257,SHEL,37.87,304.7,308.0,301.2,307.21,307.60,-0.39,0.0,304.91,"245,825.00",304.85,"74,954,583.20",809,2.36,6.8,0.77,2.26,0.75,347.80,222.10,,
2025/09/07,274,SHEL,35.05,307.7,309.7,304.0,304.67,304.30,0.37,0.0,306.92,"196,319.00",307.21,"60,254,133.10",674,-2.54,5.7,-0.83,1.88,-0.74,347.80,222.10,,
2025/09/08,261,SHEL,32.82,303.2,308.0,301.1,302.1,302.50,-0.4,0.0,303.52,"255,340.00",304.67,"77,501,558.00",758,-2.57,6.9,-0.84,2.29,-0.47,347.80,222.10,,
2025/09/18,191,SHEL,20.01,302.1,302.1,271.9,275.0,275.00,0.0,0.0,275.24,"79,927.00",302.10,"21,999,489.70",214,-27.1,30.2,-8.97,11.11,-0.09,347.80,222.10,,
2025/09/21,270,SHEL,30.7,275.0,298.4,271.1,297.12,297.80,-0.68,0.0,289.61,"320,428.00",275.00,"92,799,692.70","1,205",22.12,27.30,8.04,10.07,2.53,347.80,222.10,,
2025/09/23,269,SHEL,29.35,303.0,304.8,293.1,299.1,299.10,0.0,0.0,299.87,"185,969.00",297.12,"55,766,676.00",623,1.98,11.7,0.67,3.99,-0.26,347.80,222.10,,
2025/09/24,258,SHEL,22.04,299.1,300.8,292.1,292.2,292.20,0.0,0.0,296.53,"149,583.00",299.10,"44,356,243.80",457,-6.90,8.7,-2.31,2.98,-1.48,347.80,222.10,,
2025/09/25,266,SHEL,33.43,296.0,296.0,290.1,291.0,291.00,0.0,0.0,292.77,"90,869.00",292.20,"26,604,167.30",347,-1.2,5.9,-0.41,2.03,-0.61,347.80,222.10,284.66,274.24
2025/07/30,268,SHEL,40.66,343.0,343.0,322.1,324.48,322.50,1.98,0.01,329.47,"797,347.00",336.56,"262,699,665.90","2,084",-12.08,20.9,-3.59,6.49,-1.54,347.80,209.20,,
2025/07/31,259,SHEL,34.17,322.0,328.0,318.0,319.94,319.80,0.14,0.0,321.53,"731,612.00",324.48,"235,235,915.90","1,972",-4.54,10.0,-1.4,3.14,-0.5,347.80,218.90,,
2025/08/03,261,SHEL,31.99,322.0,322.0,311.0,312.31,312.00,0.31,0.0,315.28,"515,830.00",319.94,"162,631,752.20","1,654",-7.63,11.0,-2.38,3.54,-0.95,347.80,222.10,,
2025/08/04,265,SHEL,30.81,318.5,320.0,310.1,316.33,315.50,0.83,0.0,315.28,"530,341.00",312.31,"167,205,197.00","1,452",4.02,9.9,1.29,3.19,0.33,347.80,222.10,,
2025/08/05,266,SHEL,31.66,319.0,320.0,311.0,311.48,311.90,-0.42,0.0,314.42,"439,334.00",316.33,"138,133,848.10","1,013",-4.85,9.0,-1.53,2.89,-0.94,347.80,222.10,,
2025/08/06,261,SHEL,26.37,315.0,315.0,307.1,307.75,307.50,0.25,0.0,309.78,"220,025.00",311.48,"68,158,626.30",812,-3.73,7.90,-1.2,2.57,-0.66,347.80,222.10,,
2025/08/07,259,SHEL,26.68,307.0,317.0,306.1,314.21,313.50,0.71,0.0,312.38,"329,043.00",307.75,"102,785,741.90","1,038",6.46,10.9,2.1,3.56,0.58,347.80,222.10,,
2025/08/11,263,SHEL,26.8,315.2,317.0,301.0,302.43,302.10,0.33,0.0,306.96,"401,423.00",314.21,"123,220,740.40","1,121",-11.78,16.0,-3.75,5.32,-1.5,347.80,222.10,,
2025/08/12,264,SHEL,23.54,300.0,306.0,298.0,299.24,300.00,-0.76,0.0,300.95,"279,912.00",302.43,"84,239,123.30",977,-3.19,8.0,-1.05,2.68,-0.57,347.80,222.10,,
2025/08/13,262,SHEL,22.47,299.2,308.0,299.2,301.5,301.00,0.5,0.0,302.76,"179,705.00",299.24,"54,407,280.40",612,2.26,8.8,0.76,2.94,-0.42,347.80,222.10,,
2025/08/14,260,SHEL,23.31,306.0,306.0,299.9,302.67,303.70,-1.03,0.0,302.24,"182,938.00",301.50,"55,291,474.60",575,1.17,6.1,0.39,2.03,0.14,347.80,222.10,,
2025/08/17,256,SHEL,24.48,303.0,308.7,303.0,304.93,306.00,-1.07,0.0,305.07,"231,323.00",302.67,"70,570,601.60",709,2.26,5.7,0.75,1.88,-0.05,347.80,222.10,,
2025/08/18,262,SHEL,35.02,303.3,310.8,303.3,308.8,309.10,-0.3,0.0,307.64,"178,934.00",304.93,"55,047,033.00",698,3.87,7.5,1.27,2.47,0.38,347.80,222.10,,
2025/08/19,256,SHEL,36.78,313.9,313.9,304.5,304.98,305.60,-0.62,0.0,306.75,"143,741.00",308.80,"44,092,480.90",538,-3.82,9.4,-1.24,3.09,-0.58,347.80,222.10,,
2025/08/20,264,SHEL,33.8,306.5,309.0,304.0,305.75,305.70,0.05,0.0,306.23,"162,623.00",304.98,"49,800,750.40",455,0.77,5.0,0.25,1.64,-0.16,347.80,222.10,,
2025/08/21,260,SHEL,38.52,305.2,309.9,304.1,307.32,308.00,-0.68,0.0,306.80,"223,945.00",305.75,"68,707,183.50",665,1.57,5.8,0.51,1.91,0.17,347.80,222.10,,
2025/07/07,253,SHEL,22.22,288.0,288.0,281.0,281.83,282.00,-0.17,0.0,282.76,"248,201.00",285.89,"70,180,880.50",847,-4.06,7.0,-1.42,2.49,-0.33,334.40,154.50,,
2025/07/08,246,SHEL,24.17,280.0,287.8,278.2,286.57,287.00,-0.43,0.0,283.08,"253,889.00",281.83,"71,870,680.40",766,4.74,9.6,1.68,3.45,1.22,334.40,154.50,,
2025/07/09,257,SHEL,26.16,289.0,293.7,285.0,288.49,289.00,-0.51,0.0,289.26,"246,461.00",286.57,"71,292,256.40",670,1.92,8.7,0.67,3.05,-0.27,334.40,154.50,,
2025/07/10,253,SHEL,25.76,292.8,292.8,283.0,283.67,284.00,-0.33,0.0,285.30,"271,521.00",288.49,"77,466,139.60",895,-4.82,9.8,-1.67,3.46,-0.58,334.40,157.60,,
2025/07/13,252,SHEL,25.77,289.0,294.9,281.0,281.63,282.00,-0.37,0.0,285.58,"296,538.00",283.67,"84,686,136.00",882,-2.04,13.9,-0.72,4.95,-1.4,334.40,164.00,,
2025/07/14,261,SHEL,37.77,281.1,285.5,280.0,284.02,284.90,-0.88,0.0,283.71,"163,189.00",281.63,"46,298,607.80",635,2.39,5.50,0.85,1.96,0.11,334.40,164.00,,
2025/07/15,258,SHEL,36.81,287.0,291.9,285.0,290.33,290.00,0.33,0.0,289.43,"240,866.00",284.02,"69,713,917.90",869,6.31,6.90,2.22,2.42,0.31,334.40,170.00,,
2025/07/16,272,SHEL,38.4,292.7,293.9,288.0,288.37,288.00,0.37,0.0,289.85,"299,862.00",290.33,"86,916,484.20",906,-1.96,5.9,-0.68,2.05,-0.51,334.40,172.00,,
2025/07/17,252,SHEL,46.51,289.1,300.0,289.1,297.0,298.00,-1.0,0.0,297.02,"452,739.00",288.37,"134,473,869.90","1,269",8.63,10.90,2.99,3.77,-0.01,334.40,192.30,,
2025/07/20,256,SHEL,48.3,300.0,308.0,295.2,297.13,298.00,-0.87,0.0,302.36,"641,978.00",297.00,"194,110,331.10","1,766",0.13,12.8,0.04,4.34,-1.76,334.40,196.50,,
2025/07/21,251,SHEL,44.59,298.0,302.9,295.0,300.26,300.10,0.16,0.0,300.08,"478,206.00",297.13,"143,502,289.20","1,207",3.13,7.9,1.05,2.68,0.06,334.40,196.50,,
2025/07/22,259,SHEL,47.25,300.2,308.0,300.1,306.31,306.90,-0.59,0.0,304.50,"465,185.00",300.26,"141,648,569.60","1,332",6.05,7.9,2.01,2.63,0.59,334.40,196.50,,
2025/07/23,259,SHEL,52.91,309.0,321.0,309.0,318.39,318.00,0.39,0.0,314.77,"1,002,833.00",306.31,"315,665,479.50","2,475",12.08,12.00,3.94,3.88,1.14,334.40,206.70,,
2025/07/24,268,SHEL,54.32,320.0,331.0,319.1,329.4,330.00,-0.6,0.0,324.57,"969,566.00",318.39,"314,694,774.70","2,672",11.01,11.9,3.46,3.73,1.47,334.40,206.70,,
2025/07/27,263,SHEL,54.34,334.0,346.0,320.0,326.17,327.00,-0.83,0.0,333.03,"1,487,589.00",329.40,"495,405,675.50","3,836",-3.23,26.0,-0.98,8.13,-2.1,346.00,208.10,,
2025/07/28,261,SHEL,52.43,325.0,337.0,321.2,334.76,335.00,-0.24,0.0,329.31,"1,180,842.00",326.17,"388,861,637.70","3,082",8.59,15.8,2.63,4.92,1.63,346.00,208.10,,
2025/06/12,252,SHEL,47.29,282.0,297.5,282.0,284.99,285.20,-0.21,0.0,291.34,"837,660.00",286.55,"244,045,507.00","2,399",-1.56,15.5,-0.54,5.5,-2.23,334.40,151.50,,
2025/06/15,252,SHEL,40.85,285.0,291.0,281.0,283.18,283.00,0.18,0.0,285.37,"435,502.00",284.99,"124,281,360.80","1,216",-1.81,10.0,-0.64,3.56,-0.78,334.40,151.50,,
2025/06/16,260,SHEL,48.02,277.6,304.0,277.6,292.34,293.00,-0.66,0.0,298.08,"1,937,325.00",283.18,"577,476,225.00","4,141",9.16,26.4,3.23,9.51,-1.96,334.40,151.50,,
2025/06/17,247,SHEL,44.12,298.1,302.0,290.5,297.1,297.00,0.1,0.0,295.97,"718,567.00",292.34,"212,671,519.20","2,008",4.76,11.5,1.63,3.96,0.38,334.40,151.50,,
2025/06/18,255,SHEL,45.85,302.9,322.0,295.0,321.13,320.50,0.63,0.0,313.25,"1,973,170.00",297.10,"618,090,465.80","5,288",24.03,27.0,8.09,9.15,2.45,334.40,151.50,,
2025/06/19,256,SHEL,43.03,327.5,329.9,308.1,310.13,309.70,0.43,0.0,317.75,"1,507,822.00",321.13,"479,113,731.70","4,204",-11.0,21.80,-3.43,7.08,-2.46,334.40,151.50,,
