Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2025/05/08,256,SHINEP,30.2,228.0,228.0,228.0,228.0,228.00,0.0,0.0,228.00,"10,000.00",228.00,"2,280,000.00",1,0.0,0.0,0.0,0.0,0.0,262.00,206.00
2025/04/07,264,SHINEP,28.52,228.0,228.0,228.0,228.0,228.00,0.0,0.0,228.00,"41,017.00",228.00,"9,351,876.00",1,0.0,0.0,0.0,0.0,0.0,262.00,206.00
2025/04/15,263,SHINEP,36.8,228.0,228.0,228.0,228.0,228.00,0.0,0.0,228.00,"30,000.00",228.00,"6,840,000.00",1,0.0,0.0,0.0,0.0,0.0,262.00,206.00
2024/11/06,262,SHINEP,-,262.0,262.0,262.0,262.0,262.00,0.0,0.0,262.00,"125,000.00",262.00,"32,750,000.00",1,0.0,0.0,0.0,0.0,0.0,262.00,120.23
2024/08/21,279,SHINEP,63.27,206.0,206.0,206.0,206.0,206.00,0.0,0.0,206.00,"40,306.00",210.00,"8,303,036.00",2,-4.00,0.00,-1.9,0.0,0.0,210.00,120.23
2024/08/22,275,SHINEP,64.56,206.0,206.0,206.0,206.0,206.00,0.0,0.0,206.00,"2,000.00",206.00,"412,000.00",1,0.0,0.00,0.0,0.0,0.0,210.00,120.23
2024/03/03,252,SHINEP,32.6,181.3,181.3,181.3,181.3,181.30,0.0,0.0,181.30,"31,000.00",185.00,"5,620,300.00",1,-3.70,0.00,-2.0,0.0,0.0,185.00,120.23
2024/02/08,260,SHINEP,43.05,131.5,131.5,120.23,120.23,120.23,0.0,0.0,120.56,"169,537.00",185.00,"20,439,783.51",2,0.0,11.27,0.0,9.37,-0.28,185.00,120.23
2023/09/27,231,SHINEP,39.85,185.0,185.0,185.0,185.0,185.00,0.0,0.0,185.00,"15,000.00",185.00,"2,775,000.00",1,0.0,0.0,0.0,0.0,0.0,185.00,169.00
2023/10/11,234,SHINEP,39.06,185.0,185.0,185.0,185.0,185.00,0.0,0.0,185.00,"33,680.00",185.00,"6,230,800.00",1,0.0,0.0,0.0,0.0,0.0,185.00,169.00
2023/10/16,233,SHINEP,35.76,185.0,185.0,185.0,185.0,185.00,0.0,0.0,185.00,"54,153.00",185.00,"10,018,305.00",1,0.0,0.00,0.0,0.0,0.0,185.00,169.00
2023/08/07,218,SHINEP,42.78,185.0,185.0,185.0,185.0,185.00,0.0,0.0,185.00,"80,000.00",185.00,"14,800,000.00",1,0.0,0.00,0.0,0.0,0.0,185.00,169.00
