Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2021/10/28,185,SHINE,58.62,497.1,510.0,497.0,505.0,503.94,"57,071.00",506.00,"28,760,162.80",349,-1.0,13.0,-0.2,2.62,0.21,655.00,232.00,,
2021/10/31,194,SHINE,65.27,514.0,536.0,510.0,532.0,524.17,"146,805.00",505.00,"76,950,108.60",738,27.00,26.00,5.35,5.1,1.47,655.00,232.00,,
2021/11/01,188,SHINE,60.96,530.0,545.0,512.1,514.0,525.65,"165,911.00",532.00,"87,211,342.00",984,-18.0,32.9,-3.38,6.42,-2.27,655.00,232.00,,
2021/11/02,193,SHINE,68.61,514.0,543.0,506.0,535.0,528.66,"167,316.00",514.00,"88,453,096.80",802,21.0,37.0,4.09,7.31,1.19,655.00,232.00,,
2021/11/03,192,SHINE,66.12,545.0,553.0,534.0,538.0,543.26,"185,723.00",535.00,"100,895,169.60",747,3.0,19.0,0.56,3.56,-0.98,655.00,232.00,,
2021/11/08,192,SHINE,60.39,548.7,563.0,537.0,538.0,550.01,"115,224.00",538.00,"63,373,954.70",681,0.0,26.0,0.0,4.84,-2.23,655.00,232.00,,
2021/11/09,187,SHINE,59.32,535.0,545.0,502.0,507.0,517.10,"247,469.00",538.00,"127,965,686.90",983,-31.0,43.0,-5.76,8.57,-1.99,655.00,232.00,,
2021/11/11,188,SHINE,46.28,507.0,515.0,497.0,500.0,502.08,"127,402.00",507.00,"63,966,341.10",566,-7.0,18.0,-1.38,3.62,-0.42,655.00,232.00,,
2021/11/14,261,SHINE,65.78,482.0,502.8,478.0,497.0,494.16,"436,308.00",481.60,"215,604,912.80","1,267",15.40,24.80,3.2,5.19,0.57,502.80,346.60,387.86,384.85
2021/11/15,192,SHINE,52.34,522.0,537.0,516.0,534.9,526.32,"212,463.00",512.00,"111,823,231.00",820,22.90,21.00,4.47,4.07,1.6,655.00,232.00,,
2021/11/16,190,SHINE,55.67,537.0,544.0,530.0,536.0,537.10,"152,732.00",534.90,"82,032,486.70",607,1.10,14.00,0.21,2.64,-0.21,655.00,232.00,,
2021/11/17,187,SHINE,55.36,546.7,546.7,522.0,526.0,535.89,"127,538.00",536.00,"68,345,870.70",542,-10.00,24.70,-1.87,4.73,-1.88,655.00,232.00,,
2021/11/18,186,SHINE,49.04,520.0,535.0,510.0,518.0,519.91,"85,506.00",526.00,"44,455,285.00",415,-8.0,25.0,-1.52,4.9,-0.37,655.00,232.00,,
2021/11/21,189,SHINE,39.5,528.3,528.3,513.5,516.0,516.96,"46,506.00",518.00,"24,041,872.60",260,-2.0,14.8,-0.39,2.88,-0.19,655.00,232.00,,
2021/11/22,189,SHINE,37.48,520.0,523.9,512.1,514.0,516.67,"33,822.00",516.00,"17,474,714.80",203,-2.0,11.8,-0.39,2.3,-0.52,655.00,232.00,,
2021/11/23,190,SHINE,42.46,510.0,518.0,494.0,501.0,501.26,"105,762.00",514.00,"53,013,874.60",538,-13.0,24.0,-2.53,4.86,-0.05,655.00,232.00,,
2021/11/24,190,SHINE,44.38,511.0,514.0,487.0,510.0,502.32,"71,286.00",501.00,"35,808,042.40",478,9.00,27.0,1.8,5.54,1.51,655.00,232.00,,
2021/11/25,193,SHINE,40.51,520.0,520.0,501.0,503.9,506.94,"52,168.00",510.00,"26,446,217.30",310,-6.1,19.0,-1.2,3.79,-0.6,655.00,232.00,,
2021/11/28,195,SHINE,41.63,493.9,499.8,474.0,475.0,484.01,"142,721.00",503.90,"69,078,428.10",710,-28.9,25.8,-5.74,5.44,-1.9,655.00,232.00,,
2021/11/29,190,SHINE,42.55,474.0,489.0,454.0,460.0,466.92,"186,178.00",475.00,"86,929,319.00",680,-15.0,35.0,-3.16,7.71,-1.5,655.00,232.00,,
2021/11/30,186,SHINE,38.16,469.2,471.2,450.0,463.5,457.22,"94,768.00",460.00,"43,330,173.80",466,3.5,21.2,0.76,4.71,1.35,655.00,232.00,,
2021/12/01,185,SHINE,38.87,472.7,480.0,464.0,471.0,471.06,"46,874.00",463.50,"22,080,255.20",250,7.5,16.0,1.62,3.45,-0.01,655.00,232.00,,
2021/12/02,190,SHINE,43.88,472.0,472.0,447.0,448.0,454.57,"125,447.00",471.00,"57,024,120.60",750,-23.0,25.0,-4.88,5.59,-1.47,655.00,232.00,,
2021/12/05,187,SHINE,37.11,405.0,409.2,386.0,389.0,393.72,"86,201.00",403.86,"33,938,754.50",597,-14.86,23.2,-3.68,6.01,-1.21,655.00,232.00,,
2021/12/06,187,SHINE,39.49,396.7,406.0,375.0,403.0,389.72,"90,333.00",389.00,"35,204,747.00",561,14.0,31.00,3.6,8.27,3.29,655.00,232.00,,
2021/12/07,192,SHINE,37.27,411.0,418.0,392.0,392.0,406.64,"85,252.00",403.00,"34,666,850.00",535,-11.0,26.00,-2.73,6.63,-3.73,655.00,232.00,,
2021/12/08,187,SHINE,33.14,392.0,395.0,379.0,382.0,384.07,"37,138.00",392.00,"14,263,655.90",276,-10.0,16.00,-2.55,4.22,-0.54,655.00,232.00,,
2021/12/09,192,SHINE,40.21,387.0,387.0,368.0,377.0,377.54,"36,981.00",382.00,"13,961,898.50",262,-5.0,19.0,-1.31,5.16,-0.14,655.00,232.00,,
2021/12/12,190,SHINE,35.72,370.0,375.0,345.0,351.0,357.87,"71,188.00",377.00,"25,475,975.10",456,-26.00,30.00,-6.9,8.7,-1.96,655.00,232.00,,
2021/12/13,195,SHINE,38.53,344.0,355.0,324.0,333.0,334.89,"82,152.00",351.00,"27,511,764.90",439,-18.00,31.00,-5.13,9.57,-0.57,655.00,232.00,,
2021/12/14,183,SHINE,40.85,339.6,366.0,333.5,365.0,351.37,"32,047.00",333.00,"11,260,506.70",244,32.00,32.50,9.61,9.75,3.73,655.00,232.00,,
2021/12/15,189,SHINE,44.58,372.0,382.5,358.0,364.0,373.82,"108,837.00",365.00,"40,685,042.90",721,-1.0,24.5,-0.27,6.84,-2.7,655.00,232.00,,
2021/12/16,186,SHINE,42.1,360.0,362.0,345.8,349.0,352.71,"39,048.00",364.00,"13,772,634.70",258,-15.0,16.2,-4.12,4.68,-1.06,655.00,232.00,,
2021/12/20,191,SHINE,39.09,354.0,354.0,338.0,338.0,343.90,"21,631.00",349.00,"7,438,918.90",192,-11.0,16.0,-3.15,4.73,-1.75,655.00,232.00,,
2021/12/21,188,SHINE,40.08,344.0,349.9,338.2,349.0,345.46,"22,865.00",338.00,"7,898,933.30",177,11.0,11.70,3.25,3.46,1.01,655.00,232.00,,
2021/12/22,192,SHINE,49.8,355.0,375.0,353.1,373.0,365.89,"79,533.00",349.00,"29,100,195.10",490,24.0,21.9,6.88,6.2,1.91,655.00,232.00,,
2021/12/23,190,SHINE,52.59,380.4,384.0,360.7,365.0,374.84,"71,417.00",373.00,"26,769,770.80",496,-8.0,23.3,-2.14,6.46,-2.7,655.00,232.00,,
2021/12/26,261,SHINE,65.78,482.0,502.8,478.0,497.0,494.16,"436,308.00",481.60,"215,604,912.80","1,267",15.40,24.80,3.2,5.19,0.57,502.80,346.60,387.86,384.85
2021/12/27,197,SHINE,48.29,377.0,378.0,355.2,355.2,363.68,"51,223.00",374.90,"18,628,879.10",341,-19.7,22.80,-5.25,6.42,-2.39,655.00,232.00,,
2021/12/28,190,SHINE,42.69,349.1,364.0,348.5,362.0,354.67,"34,505.00",355.20,"12,237,821.70",202,6.8,15.5,1.91,4.45,2.03,655.00,232.00,,
2021/12/29,188,SHINE,44.84,365.0,368.0,356.2,361.0,360.97,"25,110.00",362.00,"9,063,994.90",157,-1.0,11.80,-0.28,3.31,0.01,655.00,232.00,,
2022/01/02,201,SHINE,50.69,366.5,375.0,358.2,372.0,369.70,"46,505.00",361.00,"17,193,012.50",252,11.00,16.80,3.05,4.69,0.62,655.00,235.00,,
2022/01/03,192,SHINE,58.32,372.0,391.0,364.6,379.1,381.36,"59,045.00",372.00,"22,517,436.80",313,7.1,26.40,1.91,7.24,-0.6,655.00,235.00,,
