Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2021/10/28,190,SICL,56.23,1799.0,1808.0,1780.0,1793.0,"1,793.91","9,321.00","1,801.00","16,721,075.10",187,-8.0,28.0,-0.44,1.57,-0.05,"3,021.00","1,334.00",,
2021/10/31,199,SICL,58.23,1815.0,1835.0,1790.0,1834.0,"1,814.73","9,954.00","1,793.00","18,063,826.00",175,41.00,45.00,2.29,2.51,1.05,"3,021.00","1,372.00",,
2021/11/01,193,SICL,52.78,1870.0,1870.0,1820.0,1823.0,"1,836.71","12,924.00","1,834.00","23,737,652.70",199,-11.0,50.0,-0.6,2.75,-0.75,"3,021.00","1,372.00",,
2021/11/02,198,SICL,54.38,1795.0,1826.0,1794.0,1825.0,"1,809.12","11,842.00","1,823.00","21,423,607.50",167,2.0,32.0,0.11,1.78,0.87,"3,021.00","1,372.00",,
2021/11/03,197,SICL,55.28,1861.0,1861.0,1832.0,1846.0,"1,847.00","9,177.00","1,825.00","16,949,910.00",153,21.0,29.0,1.15,1.58,-0.05,"3,021.00","1,372.00",,
2021/11/08,197,SICL,50.34,1846.1,1857.0,1800.0,1815.0,"1,821.73","9,148.00","1,846.00","16,665,143.40",133,-31.0,57.0,-1.68,3.17,-0.37,"3,021.00","1,372.00",,
2021/11/09,192,SICL,47.35,1800.0,1800.0,1747.0,1765.2,"1,766.28","13,448.00","1,815.00","23,752,873.80",267,-49.8,53.0,-2.74,3.03,-0.06,"3,021.00","1,401.00",,
2021/11/11,193,SICL,43.5,1743.0,1790.0,1700.0,1717.0,"1,720.41","10,160.00","1,765.20","17,479,408.30",197,-48.2,90.0,-2.73,5.29,-0.2,"3,021.00","1,417.00",,
2021/11/14,266,SICL,66.72,798.7,855.0,798.7,848.8,827.75,"47,949.00",815.00,"39,689,938.60",340,33.80,56.30,4.15,7.05,2.48,889.00,670.00,707.45,720.08
2021/11/15,197,SICL,50.02,1763.0,1763.0,1735.0,1750.0,"1,743.51","6,627.00","1,729.10","11,554,259.00",108,20.90,28.00,1.21,1.61,0.37,"3,021.00","1,475.00",,
2021/11/16,195,SICL,42.89,1750.0,1756.9,1715.0,1735.0,"1,738.36","9,486.00","1,750.00","16,490,085.00",163,-15.00,41.90,-0.86,2.44,-0.19,"3,021.00","1,475.00",,
2021/11/17,192,SICL,58.05,1750.0,1784.0,1750.0,1759.0,"1,766.23","6,401.00","1,735.00","11,305,652.40",132,24.00,34.00,1.38,1.94,-0.41,"3,021.00","1,475.00",,
2021/11/18,191,SICL,49.55,1730.1,1764.0,1730.1,1736.0,"1,743.92","8,037.00","1,759.00","14,015,851.50",137,-23.0,33.9,-1.31,1.96,-0.46,"3,021.00","1,475.00",,
2021/11/21,194,SICL,41.39,1760.0,1760.0,1730.0,1736.2,"1,739.52","7,387.00","1,736.00","12,849,816.50",121,0.2,30.0,0.01,1.73,-0.19,"3,021.00","1,500.00",,
2021/11/22,194,SICL,44.95,1760.0,1760.0,1740.0,1740.0,"1,749.76","6,531.00","1,736.20","11,427,678.50",118,3.8,20.0,0.22,1.15,-0.56,"3,021.00","1,500.00",,
2021/11/23,195,SICL,41.12,1730.0,1740.0,1713.0,1722.0,"1,726.19","7,719.00","1,740.00","13,324,457.10",149,-18.0,27.0,-1.03,1.58,-0.24,"3,021.00","1,500.00",,
2021/11/24,195,SICL,46.12,1735.0,1735.0,1690.0,1709.9,"1,705.24","16,964.00","1,722.00","28,927,730.50",155,-12.10,45.0,-0.7,2.66,0.27,"3,021.00","1,524.00",,
2021/11/25,198,SICL,44.27,1711.5,1725.0,1670.0,1717.0,"1,702.92","10,788.00","1,709.90","18,371,113.40",170,7.1,55.0,0.42,3.29,0.82,"3,021.00","1,572.00",,
2021/11/28,200,SICL,45.94,1701.0,1710.0,1644.0,1650.0,"1,663.85","19,694.00","1,717.00","32,767,932.70",327,-67.0,66.0,-3.9,4.01,-0.84,"3,021.00","1,572.00",,
