Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2023/02/28,219,SIC,32.89,650.2,670.0,650.0,662.0,662.00,0.0,0.0,658.82,877.00,660.00,"577,789.50",16,2.0,20.0,0.3,3.08,0.48,"1,495.00",650.00
2023/03/01,215,SIC,38.76,663.0,674.0,663.0,669.0,669.00,0.0,0.0,666.03,"2,022.00",662.00,"1,346,722.30",21,7.00,11.00,1.06,1.66,0.44,"1,495.00",650.00
2023/03/02,213,SIC,41.47,666.0,674.0,665.5,671.0,671.00,0.0,0.0,665.87,"3,459.00",669.00,"2,303,254.70",33,2.0,8.5,0.3,1.28,0.76,"1,495.00",650.00
2023/03/05,215,SIC,37.51,676.1,676.1,663.0,663.0,663.00,0.0,0.0,666.98,"1,481.00",671.00,"987,797.00",16,-8.0,13.1,-1.19,1.98,-0.6,"1,495.00",650.00
2023/03/07,218,SIC,38.09,660.0,673.0,660.0,668.0,668.00,0.0,0.0,666.27,"1,323.00",663.00,"881,474.00",21,5.0,13.0,0.75,1.97,0.26,"1,495.00",650.00
2023/03/09,218,SIC,42.21,661.0,700.0,661.0,700.0,700.00,0.0,0.0,682.61,"1,304.00",668.00,"890,126.90",32,32.0,39.0,4.79,5.9,2.48,"1,495.00",650.00
2023/03/12,217,SIC,34.1,688.1,694.0,650.0,666.0,666.00,0.0,0.0,670.03,"1,247.00",700.00,"835,527.20",52,-34.0,44.0,-4.86,6.77,-0.61,"1,495.00",650.00
2023/02/01,219,SIC,41.7,763.7,770.1,749.1,750.0,750.00,0.0,0.0,755.63,"9,161.00",779.00,"6,922,325.40",129,-29.0,21.0,-3.72,2.8,-0.75,"1,495.00",686.00
2023/02/02,217,SIC,37.64,755.0,760.0,736.2,759.6,759.60,0.0,0.0,746.94,"5,817.00",750.00,"4,344,964.80",82,9.6,23.8,1.28,3.23,1.67,"1,495.00",686.00
2023/02/05,218,SIC,36.08,750.0,765.0,746.0,752.3,752.30,0.0,0.0,754.93,"4,019.00",759.60,"3,034,059.20",45,-7.3,19.0,-0.96,2.55,-0.35,"1,495.00",686.00
