Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2017/12/21,137,SIGS1,-,20.09,20.09,20.09,20.09,20.09,0.0,0.0,20.09,"10,000.00",20.09,"200,900.00",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017/11/23,146,SIGS1,-,21.09,21.1,21.1,21.1,21.10,0.0,0.0,21.10,"10,000.00",21.09,"211,000.00",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017/11/26,137,SIGS1,-,21.1,21.2,21.15,21.15,21.15,0.0,0.0,21.18,"4,000.00",21.10,"84,710.00",3,0.0,0.05,0.0,0.24,-0.13,0.0,0.0
2017/11/27,142,SIGS1,-,21.15,21.2,21.15,21.15,21.15,0.0,0.0,21.18,"8,500.00",21.15,"180,050.00",3,0.0,0.05,0.0,0.24,-0.15,0.0,0.0
2017/12/04,140,SIGS1,-,21.15,20.73,20.73,20.73,20.73,0.0,0.0,20.73,"5,000.00",21.15,"103,650.00",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017/12/05,145,SIGS1,-,20.73,21.14,20.72,20.72,20.72,0.0,0.0,20.93,"10,000.00",20.73,"209,300.00",2,0.0,0.42,0.0,2.03,-1.01,0.0,0.0
2017/12/06,148,SIGS1,-,20.72,20.7,20.7,20.7,20.70,0.0,0.0,20.70,"8,000.00",20.72,"165,600.00",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017/12/10,143,SIGS1,-,20.7,20.5,20.5,20.5,20.50,0.0,0.0,20.50,"1,000.00",20.70,"20,500.00",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017/12/11,139,SIGS1,-,20.5,20.31,20.3,20.3,20.30,0.0,0.0,20.31,"3,000.00",20.50,"60,920.00",2,0.0,0.01,0.0,0.05,-0.03,0.0,0.0
2017/12/14,138,SIGS1,-,20.3,20.1,20.0,20.0,20.00,0.0,0.0,20.06,"8,500.00",20.30,"170,500.00",2,0.0,0.1,0.0,0.5,-0.29,0.0,0.0
2017/12/17,143,SIGS1,-,20.0,19.7,19.7,19.7,19.70,0.0,0.0,19.70,"20,000.00",20.00,"394,000.00",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017/10/30,139,SIGS1,-,21.3,21.7,21.3,21.3,21.30,0.0,0.0,21.46,"35,000.00",21.30,"751,000.00",4,0.0,0.4,0.0,1.88,-0.74,0.0,0.0
2017/11/01,141,SIGS1,-,21.3,21.3,21.3,21.3,21.30,0.0,0.0,21.30,"7,700.00",21.30,"164,010.00",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017/11/14,145,SIGS1,-,21.3,21.73,21.3,21.3,21.30,0.0,0.0,21.44,"21,200.00",21.30,"454,460.00",6,0.0,0.43,0.0,2.02,-0.64,0.0,0.0
2017/11/15,139,SIGS1,-,21.3,21.7,21.7,21.7,21.70,0.0,0.0,21.70,"1,000.00",21.30,"21,700.00",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017/11/20,143,SIGS1,-,21.1,21.52,21.09,21.09,21.09,0.0,0.0,21.12,"7,700.00",21.10,"162,651.00",2,0.0,0.43,0.0,2.04,-0.16,0.0,0.0
2017/10/03,106,SIGS1,-,20.5,20.3,20.3,20.3,20.30,0.0,0.0,20.30,100.00,20.50,"2,030.00",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017/10/04,127,SIGS1,-,20.3,20.8,20.71,20.8,20.80,0.0,0.0,20.76,"10,000.00",20.30,"207,550.00",2,1.0,0.09,0.0,0.43,0.22,0.0,0.0
2017/10/08,134,SIGS1,-,20.8,20.5,20.11,20.11,20.11,0.0,0.0,20.17,"36,000.00",20.80,"726,290.00",6,-1.0,0.39,0.0,1.94,-0.32,0.0,0.0
2017/10/09,134,SIGS1,-,20.11,20.12,20.1,20.11,20.11,0.0,0.0,20.11,"33,630.00",20.11,"676,319.00",4,0.0,0.02,0.0,0.1,0.0,0.0,0.0
2017/10/10,136,SIGS1,-,20.11,20.1,19.71,20.1,20.10,0.0,0.0,20.06,"10,600.00",20.11,"212,670.00",2,0.0,0.39,0.0,1.98,0.18,0.0,0.0
