Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2021/12/22,205,SLBBLP,30.31,523.0,523.0,523.0,523.0,523.00,"2,500.00",523.00,"1,307,500.00",2,523.0,0.0,0.0,0.0,0.0,810.00,523.00
2022/09/16,192,SLBBLP,24.05,288.0,288.0,288.0,288.0,288.00,"10,000.00",288.00,"2,880,000.00",1,0.0,0.0,0.0,0.0,0.0,810.00,288.00
2022/10/19,188,SLBBLP,16.66,288.0,288.0,288.0,288.0,288.00,"2,000.00",288.00,"576,000.00",1,0.0,0.0,0.0,0.0,0.0,523.00,288.00
2022/12/11,223,SLBBLP,24.62,288.0,288.0,288.0,288.0,288.00,"4,564.00",288.00,"1,314,432.00",4,0.0,0.0,0.0,0.0,0.0,523.00,288.00
2023/05/04,239,SLBBLP,23.61,303.0,303.0,303.0,303.0,303.00,"3,050.00",303.00,"924,150.00",1,0.0,0.0,0.0,0.0,0.0,303.00,288.00
2023/08/02,233,SLBBLP,55.13,410.0,410.0,410.0,410.0,410.00,"6,000.00",418.00,"2,460,000.00",1,-8.0,0.00,-1.91,0.0,0.0,410.00,288.00
2023/11/23,252,SLBBLP,44.68,410.0,410.0,410.0,410.0,410.00,"2,440.00",410.00,"1,000,400.00",1,0.0,0.0,0.0,0.0,0.0,410.00,288.00
2023/12/05,252,SLBBLP,46.25,410.0,410.0,410.0,410.0,410.00,"4,000.00",410.00,"1,640,000.00",7,0.00,0.00,0.0,0.0,0.0,410.00,288.00
2023/12/28,260,SLBBLP,49.46,410.0,410.0,410.0,410.0,410.00,"8,690.00",410.00,"3,562,900.00",1,0.0,0.0,0.0,0.0,0.0,410.00,303.00
2024/02/22,266,SLBBLP,42.47,410.0,410.0,410.0,410.0,410.00,"20,000.00",410.00,"8,200,000.00",1,0.00,0.0,0.0,0.0,0.0,410.00,303.00
