Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2025/08/25,288,SPL,41.63,945.0,949.6,909.4,944.87,948.90,-4.03,0.0,940.70,"3,395.00",927.93,"3,193,692.60",54,16.94,40.2,1.83,4.42,0.44,"1,102.20",765.00,,
2025/08/26,294,SPL,42.08,950.0,967.0,914.5,948.93,945.00,3.93,0.0,950.16,"6,549.00",944.87,"6,222,621.00",35,4.06,52.5,0.43,5.74,-0.13,"1,102.20",765.00,,
2025/08/27,293,SPL,40.46,948.93,980.0,941.1,971.88,980.00,-8.12,-0.01,967.72,"4,681.00",948.93,"4,529,882.50",62,22.95,38.9,2.42,4.13,0.43,"1,102.20",765.00,,
2025/08/28,293,SPL,37.09,953.0,991.0,953.0,967.31,969.00,-1.69,0.0,967.00,"2,357.00",971.88,"2,279,217.00",50,-4.57,38.0,-0.47,3.99,0.03,"1,102.20",765.00,,
2025/08/31,293,SPL,35.76,954.1,960.0,950.0,951.53,950.00,1.53,0.0,955.67,"1,361.00",967.31,"1,300,663.00",38,-15.78,10.0,-1.63,1.05,-0.43,"1,102.20",765.00,,
2025/09/01,298,SPL,32.05,970.0,970.0,932.5,943.32,945.00,-1.68,0.0,943.70,"1,527.00",951.53,"1,441,028.40",42,-8.21,37.5,-0.86,4.02,-0.04,"1,102.20",765.00,,
2025/09/02,296,SPL,33.76,930.2,962.1,930.2,937.21,940.00,-2.79,0.0,958.01,"7,318.00",943.32,"7,010,746.00",30,-6.11,31.9,-0.65,3.43,-2.22,"1,102.20",765.00,,
2025/09/03,298,SPL,25.4,930.5,948.9,930.5,934.1,935.00,-0.9,0.0,943.67,"2,922.00",937.21,"2,757,403.60",31,-3.11,18.4,-0.33,1.98,-1.02,"1,102.20",765.00,,
2025/09/04,288,SPL,25.21,928.2,930.0,926.3,927.09,927.10,-0.01,0.0,927.58,"4,030.00",934.10,"3,738,136.50",37,-7.01,3.7,-0.75,0.4,-0.05,"1,102.20",765.00,,
2025/09/07,305,SPL,20.75,920.1,948.0,920.1,939.22,944.90,-5.68,-0.01,940.33,"1,287.00",927.09,"1,210,204.50",36,12.13,27.9,1.31,3.03,-0.12,"1,102.20",765.00,,
