Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2024/05/09,286,SRD80,55.15,1030.0,1030.0,1030.0,1030.0,"1,030.00",0.0,0.0,"1,030.00",185.00,"1,049.00","190,550.00",1,-19.0,0.00,-1.81,0.0,0.0,"1,049.00",965.30
2024/04/22,293,SRD80,49.53,1037.0,1039.0,1037.0,1039.0,"1,039.00",0.0,0.0,"1,038.33",75.00,"1,019.00","77,875.00",3,20.0,2.0,1.96,0.19,0.06,"1,040.30",965.30
2024/04/29,291,SRD80,51.05,1044.0,1049.0,1044.0,1049.0,"1,049.00",0.0,0.0,"1,046.50",200.00,"1,039.00","209,300.00",4,10.0,5.0,0.96,0.48,0.24,"1,049.00",965.30
2024/03/21,287,SRD80,48.66,999.0,999.0,999.0,999.0,999.00,0.0,0.0,999.00,10.00,987.60,"9,990.00",1,11.40,0.00,1.15,0.0,0.0,"1,040.30",952.30
2024/03/27,282,SRD80,50.26,1001.0,1001.0,1001.0,1001.0,"1,001.00",0.0,0.0,"1,001.00",25.00,999.00,"25,025.00",1,2.0,0.00,0.2,0.0,0.0,"1,040.30",952.30
2024/04/01,288,SRD80,47.65,1011.0,1019.0,1011.0,1019.0,"1,019.00",0.0,0.0,"1,015.80",25.00,"1,001.00","25,395.00",2,18.0,8.0,1.8,0.79,0.31,"1,040.30",952.30
2024/02/18,288,SRD80,32.06,987.6,987.6,987.6,987.6,987.60,0.0,0.0,987.60,25.00,985.10,"24,690.00",1,2.5,0.0,0.25,0.0,0.0,"1,040.30",952.30
2024/02/25,290,SRD80,28.85,987.6,987.6,987.6,987.6,987.60,0.0,0.0,987.60,25.00,987.60,"24,690.00",1,0.00,0.00,0.0,0.0,0.0,"1,040.30",952.30
2024/01/21,281,SRD80,47.31,999.2,1000.0,999.2,1000.0,"1,000.00",0.0,0.0,999.70,986.00,"1,019.50","985,707.20",3,-19.5,0.80,-1.91,0.08,0.03,"1,040.30",952.30
2024/01/31,286,SRD80,33.3,982.2,982.2,982.2,982.2,982.20,0.0,0.0,982.20,25.00,"1,000.00","24,555.00",1,-17.80,0.00,-1.78,0.0,0.0,"1,040.30",952.30
2024/02/01,282,SRD80,31.36,985.1,985.1,985.1,985.1,985.10,0.0,0.0,985.10,25.00,982.20,"24,627.50",1,2.9,0.0,0.3,0.0,0.0,"1,040.30",952.30
2023/12/28,276,SRD80,53.27,1020.0,1020.0,1020.0,1020.0,"1,020.00",0.0,0.0,"1,020.00",10.00,"1,032.00","10,200.00",1,-12.0,0.0,-1.16,0.0,0.0,"1,032.00",952.30
2024/01/09,282,SRD80,55.05,1020.0,1020.0,1020.0,1020.0,"1,020.00",0.0,0.0,"1,020.00",50.00,"1,020.00","51,000.00",2,0.0,0.0,0.0,0.0,0.0,"1,032.00",952.30
2024/01/10,274,SRD80,58.82,1040.3,1040.3,1040.3,1040.3,"1,040.30",0.0,0.0,"1,040.30",20.00,"1,020.00","20,806.00",1,20.3,0.00,1.99,0.0,0.0,"1,040.30",952.30
2024/01/11,280,SRD80,40.52,1019.5,1019.5,1019.5,1019.5,"1,019.50",0.0,0.0,"1,019.50",25.00,"1,040.30","25,487.50",1,-20.80,0.0,-2.0,0.0,0.0,"1,040.30",952.30
2023/11/28,265,SRD80,38.71,1000.2,1000.2,1000.2,1000.2,"1,000.20",0.0,0.0,"1,000.20",25.00,"1,004.70","25,005.00",1,-4.5,0.0,-0.45,0.0,0.0,"1,020.00",952.30
2023/12/03,268,SRD80,42.05,1000.1,1000.1,1000.1,1000.1,"1,000.10",0.0,0.0,"1,000.10",20.00,"1,000.20","20,002.00",1,-0.1,0.0,-0.01,0.0,0.0,"1,020.00",952.30
2023/12/04,268,SRD80,45.14,1005.0,1005.0,1005.0,1005.0,"1,005.00",0.0,0.0,"1,005.00",10.00,"1,000.10","10,050.00",1,4.9,0.0,0.49,0.0,0.0,"1,020.00",952.30
2023/12/05,267,SRD80,37.29,1007.1,1007.1,1007.1,1007.1,"1,007.10",0.0,0.0,"1,007.10",10.00,"1,005.00","10,071.00",1,2.10,0.00,0.21,0.0,0.0,"1,020.00",952.30
