Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2025/08/25,289,SRLI,33.92,401.0,403.5,401.0,402.31,403.00,-0.69,0.0,401.73,"16,376.00",401.39,"6,578,725.70",262,0.92,2.5,0.23,0.62,0.14,654.00,390.00,,
2025/08/26,295,SRLI,32.15,401.3,404.0,401.1,401.44,402.10,-0.66,0.0,401.55,"10,383.00",402.31,"4,169,300.80",232,-0.87,2.9,-0.22,0.72,-0.03,654.00,390.00,,
2025/08/27,294,SRLI,41.58,401.0,408.8,401.0,407.63,408.00,-0.37,0.0,404.60,"27,111.00",401.44,"10,969,032.00",366,6.19,7.8,1.54,1.95,0.74,654.00,390.00,,
2025/08/28,295,SRLI,38.13,407.63,410.8,403.0,403.25,403.10,0.15,0.0,405.47,"27,760.00",407.63,"11,255,879.80",294,-4.38,7.8,-1.07,1.94,-0.55,654.00,390.00,,
2025/08/31,294,SRLI,35.95,411.3,411.3,400.3,400.62,402.00,-1.38,0.0,401.45,"25,732.00",403.25,"10,330,058.20",368,-2.63,11.0,-0.65,2.75,-0.21,654.00,390.00,,
2025/09/01,299,SRLI,32.83,408.0,408.0,398.7,400.21,401.00,-0.79,0.0,400.36,"13,992.00",400.62,"5,601,819.30",282,-0.41,9.3,-0.1,2.33,-0.04,654.00,390.00,,
2025/09/02,297,SRLI,34.33,400.0,402.0,398.1,399.2,400.00,-0.8,0.0,399.58,"19,904.00",400.21,"7,953,287.30",282,-1.01,3.9,-0.25,0.98,-0.1,654.00,390.00,,
2025/09/03,299,SRLI,30.05,391.3,402.7,391.3,397.18,396.40,0.78,0.0,398.54,"27,779.00",399.20,"11,070,953.10",299,-2.02,11.4,-0.51,2.91,-0.34,654.00,390.00,,
2025/09/04,290,SRLI,30.4,405.0,405.0,395.0,396.63,398.80,-2.17,-0.01,396.20,"19,203.00",397.18,"7,608,274.20",309,-0.55,10.0,-0.14,2.53,0.11,654.00,390.00,,
2025/09/07,307,SRLI,29.62,395.0,399.4,395.0,395.29,395.10,0.19,0.0,396.78,"18,859.00",396.63,"7,482,841.20",286,-1.34,4.4,-0.34,1.11,-0.38,611.00,390.00,,
2025/09/08,293,SRLI,28.13,395.0,397.0,391.0,391.87,391.40,0.47,0.0,393.13,"16,769.00",395.29,"6,592,415.50",275,-3.42,6.0,-0.87,1.53,-0.32,611.00,390.00,,
2025/09/18,218,SRLI,18.14,384.1,384.1,363.9,363.9,363.90,0.0,0.0,367.69,"3,171.00",391.87,"1,165,957.90",28,-27.97,20.2,-7.14,5.55,-1.04,585.00,363.90,,
2025/09/21,302,SRLI,31.76,371.1,386.5,364.0,384.61,385.00,-0.39,0.0,376.55,"49,419.00",363.90,"18,608,490.20",557,20.71,22.50,5.69,6.18,2.1,585.00,363.90,,
2025/09/23,301,SRLI,39.7,384.0,394.9,383.5,394.0,394.00,0.0,0.0,391.27,"19,787.00",384.61,"7,742,056.40",311,9.39,11.4,2.44,2.97,0.69,567.00,363.90,,
2025/09/24,290,SRLI,30.96,399.0,399.0,387.1,389.0,389.00,0.0,0.0,389.28,"16,963.00",394.00,"6,603,317.90",180,-5.00,11.9,-1.27,3.07,-0.07,564.00,363.90,,
2025/09/25,300,SRLI,33.11,388.1,390.0,385.0,387.3,387.30,0.0,0.0,387.32,"7,601.00",389.00,"2,944,000.20",130,-1.7,5.0,-0.44,1.3,0.0,564.00,363.90,407.49,414.93
2025/07/30,300,SRLI,31.51,441.9,441.9,422.0,424.38,422.00,2.38,0.01,427.55,"79,313.00",433.25,"33,910,613.40",726,-8.87,19.9,-2.05,4.72,-0.75,654.00,390.00,,
