Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2025/08/25,292,STC,39.32,5299.0,5299.0,5180.0,5208.1,"5,239.00",-30.9,-0.01,"5,206.06","1,243.00","5,198.42","6,471,130.80",37,9.68,119.0,0.19,2.3,0.04,"6,600.00","4,905.10",,
2025/08/26,297,STC,36.6,5229.0,5280.0,5179.0,5277.25,"5,279.00",-1.75,0.0,"5,244.45",315.00,"5,208.10","1,652,001.00",20,69.15,101.0,1.33,1.95,0.62,"6,480.00","4,905.10",,
2025/08/27,296,STC,40.4,5275.0,5310.0,5225.0,5304.0,"5,304.00",0.0,0.0,"5,292.61","1,069.00","5,277.25","5,657,803.00",50,26.75,85.0,0.51,1.63,0.21,"6,480.00","4,905.10",,
2025/08/28,297,STC,40.23,5349.0,5375.0,5218.0,5289.27,"5,349.00",-59.73,-0.01,"5,274.46","1,055.00","5,304.00","5,564,560.30",57,-14.73,157.0,-0.28,3.01,0.28,"6,400.00","4,905.10",,
2025/08/31,296,STC,41.05,5250.0,5275.0,5211.1,5233.54,"5,274.00",-40.46,-0.01,"5,230.84","1,524.00","5,289.27","7,971,796.00",60,-55.73,63.9,-1.05,1.23,0.05,"6,400.00","4,905.10",,
2025/09/01,301,STC,42.54,5200.0,5310.0,5032.0,5299.99,"5,309.00",-9.01,0.0,"5,278.88","1,295.00","5,233.54","6,836,150.00",56,66.45,278.0,1.27,5.52,0.4,"6,400.00","4,905.10",,
2025/09/02,299,STC,45.91,5300.0,5389.0,5281.3,5356.45,"5,365.00",-8.55,0.0,"5,322.40","2,097.00","5,299.99","11,161,077.50",72,56.46,107.7,1.07,2.04,0.64,"6,400.00","4,905.10",,
2025/09/03,301,STC,41.1,5300.0,5308.0,5277.5,5278.05,"5,278.00",0.05,0.0,"5,298.58","1,836.00","5,356.45","9,728,190.00",24,-78.4,30.5,-1.46,0.58,-0.39,"6,400.00","4,905.10",,
2025/09/04,292,STC,39.03,5176.0,5299.0,5176.0,5252.33,"5,299.00",-46.67,-0.01,"5,227.94","2,168.00","5,278.05","11,334,174.00",53,-25.72,123.0,-0.49,2.38,0.46,"6,399.00","4,905.10",,
2025/09/07,309,STC,33.51,5299.0,5300.0,5158.0,5210.0,"5,210.00",0.0,0.0,"5,190.58",915.00,"5,252.33","4,749,383.00",19,-42.33,142.0,-0.81,2.75,0.37,"6,399.00","4,905.10",,
2025/09/08,295,STC,26.24,5210.0,5257.0,5171.0,5227.49,"5,210.00",17.49,0.0,"5,227.38",768.00,"5,210.00","4,014,624.70",32,17.49,86.0,0.34,1.66,0.0,"6,399.00","4,905.10",,
2025/09/18,220,STC,20.08,5123.0,5123.0,4832.0,4850.0,"4,850.00",0.0,0.0,"4,870.58",275.00,"5,227.49","1,339,410.00",9,-377.49,291.0,-7.22,6.02,-0.42,"6,399.00","4,832.00",,
2025/09/21,304,STC,41.64,4947.0,5335.0,4947.0,5301.06,"5,199.00",102.06,0.02,"5,206.41","3,741.00","4,850.00","19,477,180.00",138,451.06,388.00,9.3,7.84,1.79,"6,399.00","4,832.00",,
2025/09/23,303,STC,45.7,5407.0,5407.0,5005.0,5400.0,"5,400.00",0.0,0.0,"5,277.52","4,310.00","5,301.06","22,746,097.90",113,98.94,402.0,1.87,8.03,2.27,"6,399.00","4,832.00",,
2025/09/24,292,STC,39.38,5294.0,5390.0,5216.0,5277.6,"5,277.60",0.0,0.0,"5,354.16","1,418.00","5,400.00","7,592,193.40",55,-122.40,174.0,-2.27,3.34,-1.45,"6,399.00","4,832.00",,
2025/09/25,302,STC,37.06,5380.0,5400.0,5181.0,5310.0,"5,310.00",0.0,0.0,"5,380.55","1,121.00","5,277.60","6,031,595.00",39,32.4,219.0,0.61,4.23,-1.33,"6,399.00","4,832.00","5,189.60","5,281.44"
2025/07/30,302,STC,40.43,5624.9,5624.9,5505.0,5567.12,"5,509.10",58.02,0.01,"5,563.94","5,074.00","5,583.98","28,231,419.10",140,-16.86,119.9,-0.3,2.18,0.06,"7,000.00","4,905.10",,
2025/07/31,293,STC,34.34,5460.1,5553.0,5458.1,5500.26,"5,500.00",0.26,0.0,"5,498.91","1,986.00","5,567.12","10,920,839.60",60,-66.86,94.9,-1.2,1.74,0.02,"7,000.00","4,905.10",,
2025/08/03,295,STC,38.45,5391.0,5500.0,5391.0,5482.42,"5,500.00",-17.58,0.0,"5,484.17","5,212.00","5,500.26","28,583,502.00",92,-17.84,109.0,-0.32,2.02,-0.03,"7,000.00","4,905.10",,
