Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2025/08/25,294,SWMF,36.47,750.0,755.0,725.0,733.66,738.00,-4.34,-0.01,735.54,"9,462.00",736.01,"6,959,718.30",113,-2.35,30.0,-0.32,4.14,-0.26,951.00,676.00,,
2025/08/26,299,SWMF,32.57,730.0,740.0,730.0,737.0,737.00,0.0,0.0,732.37,"2,483.00",733.66,"1,818,480.10",45,3.34,10.0,0.46,1.37,0.63,950.60,676.00,,
2025/08/27,298,SWMF,36.66,734.0,749.8,732.0,742.85,749.80,-6.95,-0.01,738.50,"6,429.00",737.00,"4,747,831.50",71,5.85,17.8,0.79,2.43,0.59,950.60,676.00,,
2025/08/28,299,SWMF,34.66,734.0,746.7,732.2,734.02,732.20,1.82,0.0,736.94,"4,668.00",742.85,"3,440,028.90",70,-8.83,14.5,-1.19,1.98,-0.4,936.00,676.00,,
2025/08/31,298,SWMF,31.76,735.0,739.9,714.0,718.76,728.00,-9.24,-0.01,721.56,"3,811.00",734.02,"2,749,867.60",86,-15.26,25.9,-2.08,3.63,-0.39,901.00,676.00,,
2025/09/01,303,SWMF,32.44,718.76,720.0,701.7,715.36,719.00,-3.64,-0.01,713.15,"3,495.00",718.76,"2,492,466.30",78,-3.4,18.3,-0.47,2.61,0.31,901.00,676.00,,
2025/09/02,301,SWMF,32.39,720.0,720.0,705.0,708.5,710.00,-1.5,0.0,709.96,"4,811.00",715.36,"3,415,626.60",72,-6.86,15.0,-0.96,2.13,-0.21,901.00,676.00,,
2025/09/03,303,SWMF,30.33,708.5,719.0,700.4,700.85,700.40,0.45,0.0,701.71,"3,993.00",708.50,"2,801,918.80",59,-7.65,18.6,-1.08,2.66,-0.12,901.00,676.00,,
2025/09/04,294,SWMF,28.38,705.0,705.0,699.0,702.6,705.00,-2.4,0.0,701.85,"3,060.00",700.85,"2,147,661.80",37,1.75,6.0,0.25,0.86,0.11,901.00,676.00,,
2025/09/07,311,SWMF,30.16,695.0,705.0,695.0,698.43,696.20,2.23,0.0,701.44,"2,280.00",702.60,"1,599,278.60",40,-4.17,10.0,-0.59,1.44,-0.43,901.00,676.00,,
