Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2025/08/25,295,TAMOR,30.88,503.2,514.0,503.2,508.93,510.00,-1.07,0.0,507.65,"7,901.00",507.12,"4,010,928.00",133,1.81,10.8,0.36,2.15,0.25,637.00,439.20,,
2025/08/26,300,TAMOR,30.83,506.0,512.5,506.0,508.2,510.00,-1.8,0.0,509.18,"9,930.00",508.93,"5,056,171.10",114,-0.73,6.5,-0.14,1.28,-0.19,637.00,439.20,,
2025/08/27,299,TAMOR,34.7,505.0,518.3,505.0,517.35,518.30,-0.95,0.0,514.70,"7,688.00",508.20,"3,956,989.20",161,9.15,13.3,1.8,2.63,0.51,637.00,439.20,,
2025/08/28,300,TAMOR,40.08,522.0,525.0,512.0,512.24,512.90,-0.66,0.0,518.24,"24,173.00",517.35,"12,527,420.90",198,-5.11,13.0,-0.99,2.54,-1.17,637.00,439.20,,
2025/08/31,299,TAMOR,37.8,506.0,510.9,506.0,508.14,508.00,0.14,0.0,508.57,"13,485.00",512.24,"6,858,072.90",173,-4.1,4.9,-0.8,0.97,-0.08,637.00,439.20,,
2025/09/01,304,TAMOR,33.47,499.3,510.0,499.3,507.04,509.00,-1.96,0.0,506.24,"8,036.00",508.14,"4,068,176.80",170,-1.1,10.7,-0.22,2.14,0.16,637.00,439.20,,
2025/09/02,302,TAMOR,34.3,503.1,510.0,503.1,506.68,506.10,0.58,0.0,506.67,"8,774.00",507.04,"4,445,517.50",155,-0.36,6.9,-0.07,1.37,0.0,637.00,439.20,,
2025/09/03,304,TAMOR,26.53,503.5,507.0,503.0,503.66,503.00,0.66,0.0,504.59,"9,306.00",506.68,"4,695,718.00",142,-3.02,4.0,-0.6,0.8,-0.18,637.00,439.20,,
2025/09/04,295,TAMOR,27.74,500.1,506.3,494.2,500.99,503.00,-2.01,0.0,498.12,"20,816.00",503.66,"10,368,798.70",238,-2.67,12.1,-0.53,2.45,0.57,637.00,439.20,,
2025/09/07,312,TAMOR,26.05,496.2,503.0,496.2,499.23,500.00,-0.77,0.0,498.75,"8,619.00",500.99,"4,298,747.90",151,-1.76,6.8,-0.35,1.37,0.1,637.00,439.20,,
2025/09/08,298,TAMOR,27.04,491.1,500.0,490.4,495.78,500.00,-4.22,-0.01,493.21,"9,936.00",499.23,"4,900,535.20",149,-3.45,9.6,-0.69,1.96,0.52,637.00,439.20,,
2025/09/18,222,TAMOR,20.59,486.0,486.0,466.8,468.1,468.10,0.0,0.0,480.19,880.00,495.78,"422,568.00",10,-27.68,19.2,-5.58,4.11,-2.58,637.00,439.20,,
2025/09/21,307,TAMOR,35.43,469.0,496.0,461.0,491.3,490.40,0.9,0.0,487.24,"29,715.00",468.10,"14,478,334.40",257,23.2,35.00,4.96,7.59,0.83,637.00,439.20,,
2025/09/23,306,TAMOR,39.54,485.0,507.0,485.0,507.0,507.00,0.0,0.0,500.69,"10,909.00",491.30,"5,462,078.10",192,15.70,22.0,3.2,4.54,1.24,637.00,439.20,,
2025/09/24,295,TAMOR,36.4,500.1,505.0,490.0,495.0,495.00,0.0,0.0,493.59,"15,616.00",507.00,"7,707,863.40",145,-12.00,15.0,-2.37,3.06,0.29,637.00,439.20,,
2025/09/25,305,TAMOR,35.23,491.4,502.0,491.4,496.0,496.00,0.0,0.0,497.67,"8,122.00",495.00,"4,042,106.00",79,1.0,10.6,0.2,2.16,-0.34,637.00,439.20,515.00,527.65
2025/07/30,305,TAMOR,34.42,542.0,548.0,527.3,530.26,527.70,2.56,0.0,538.62,"60,646.00",544.30,"32,665,267.90",444,-14.04,20.7,-2.58,3.93,-1.58,637.00,439.20,,
2025/07/31,296,TAMOR,32.44,525.1,538.0,522.0,523.47,523.00,0.47,0.0,526.93,"33,327.00",530.26,"17,561,054.80",365,-6.79,16.0,-1.28,3.07,-0.66,637.00,439.20,,
2025/08/03,298,TAMOR,30.08,515.5,525.0,513.0,514.3,513.00,1.3,0.0,516.15,"31,585.00",523.47,"16,302,609.40",357,-9.17,12.0,-1.75,2.34,-0.36,637.00,439.20,,
2025/08/04,303,TAMOR,27.73,511.0,523.9,511.0,516.07,516.50,-0.43,0.0,515.63,"19,375.00",514.30,"9,990,370.10",288,1.77,12.9,0.34,2.52,0.08,637.00,439.20,,
2025/08/05,303,TAMOR,28.82,516.0,521.0,511.1,513.52,511.10,2.42,0.0,516.85,"16,048.00",516.07,"8,294,465.20",244,-2.55,9.9,-0.49,1.94,-0.65,637.00,439.20,,
2025/08/06,298,TAMOR,25.06,508.0,520.0,508.0,513.23,518.00,-4.77,-0.01,512.78,"11,712.00",513.52,"6,005,649.70",229,-0.29,12.00,-0.06,2.36,0.09,637.00,439.20,,
2025/08/07,296,TAMOR,24.78,508.2,522.0,508.2,515.61,515.10,0.51,0.0,516.30,"19,002.00",513.23,"9,810,814.90",264,2.38,13.8,0.46,2.72,-0.13,637.00,439.20,,
2025/08/11,302,TAMOR,26.08,512.0,525.9,510.0,510.42,510.00,0.42,0.0,514.85,"19,712.00",515.61,"10,148,672.50",268,-5.19,15.9,-1.01,3.12,-0.87,637.00,439.20,,
2025/08/12,301,TAMOR,24.45,510.0,512.0,505.0,505.56,505.00,0.56,0.0,506.43,"19,864.00",510.42,"10,059,670.00",248,-4.86,7.0,-0.95,1.39,-0.17,637.00,439.20,,
2025/08/13,299,TAMOR,21.06,500.5,514.0,500.5,509.97,510.00,-0.03,0.0,509.53,"7,395.00",505.56,"3,767,965.50",216,4.41,13.5,0.87,2.7,0.09,637.00,439.20,,
2025/08/14,298,TAMOR,28.68,515.0,519.9,512.0,514.74,516.90,-2.16,0.0,514.70,"20,944.00",509.97,"10,779,825.60",239,4.77,7.9,0.94,1.54,0.01,637.00,439.20,,
2025/08/17,295,TAMOR,37.29,524.9,524.9,514.5,516.1,521.00,-4.9,-0.01,516.88,"13,936.00",514.74,"7,203,303.80",242,1.36,10.4,0.26,2.02,-0.15,637.00,439.20,,
2025/08/18,299,TAMOR,39.25,516.2,520.6,515.0,518.68,518.60,0.08,0.0,517.48,"13,900.00",516.10,"7,193,006.50",224,2.58,5.6,0.5,1.09,0.23,637.00,439.20,,
2025/08/19,294,TAMOR,39.99,525.0,526.0,517.0,523.37,524.80,-1.43,0.0,523.69,"17,288.00",518.68,"9,053,581.50",250,4.69,9.0,0.9,1.74,-0.06,637.00,439.20,,
2025/08/20,301,TAMOR,36.81,520.0,523.0,515.3,515.87,516.00,-0.13,0.0,518.66,"8,470.00",523.37,"4,393,081.60",131,-7.5,7.7,-1.43,1.49,-0.54,637.00,439.20,,
2025/08/21,297,TAMOR,31.01,512.0,520.0,509.0,509.67,512.00,-2.33,0.0,511.84,"14,238.00",515.87,"7,287,610.40",186,-6.2,11.0,-1.2,2.16,-0.43,637.00,439.20,,
2025/07/07,290,TAMOR,23.76,508.0,517.0,505.2,505.47,507.00,-1.53,0.0,507.65,"23,312.00",510.71,"11,834,297.60",208,-5.24,11.8,-1.03,2.34,-0.43,637.00,404.10,,
2025/07/08,283,TAMOR,25.36,497.0,509.9,495.5,505.57,506.00,-0.43,0.0,504.73,"22,871.00",505.47,"11,543,657.00",228,0.1,14.4,0.02,2.91,0.17,637.00,417.20,,
2025/07/09,295,TAMOR,29.35,515.0,524.0,504.5,505.4,509.00,-3.6,-0.01,506.88,"36,048.00",505.57,"18,271,987.80",251,-0.17,19.5,-0.03,3.87,-0.29,637.00,425.00,,
2025/07/10,291,TAMOR,26.02,505.0,515.0,504.2,505.8,505.00,0.8,0.0,506.67,"21,832.00",505.40,"11,061,661.60",222,0.4,10.8,0.08,2.14,-0.17,637.00,425.00,,
2025/07/13,289,TAMOR,33.2,510.0,520.0,506.0,506.28,507.00,-0.72,0.0,507.82,"19,320.00",505.80,"9,811,100.50",218,0.48,14.0,0.09,2.77,-0.3,637.00,439.20,,
2025/07/14,299,TAMOR,38.84,505.0,513.0,505.0,506.0,509.80,-3.8,-0.01,508.24,"28,689.00",506.28,"14,580,911.20",215,-0.28,8.00,-0.06,1.58,-0.44,637.00,439.20,,
2025/07/15,295,TAMOR,45.69,506.1,523.0,506.1,520.14,523.00,-2.86,-0.01,518.07,"37,854.00",506.00,"19,610,845.10",267,14.14,16.90,2.79,3.34,0.4,637.00,439.20,,
2025/07/16,309,TAMOR,48.18,525.0,527.0,517.0,517.53,517.10,0.43,0.0,521.19,"48,998.00",520.14,"25,537,492.50",206,-2.61,10.0,-0.5,1.93,-0.71,637.00,439.20,,
2025/07/17,289,TAMOR,46.45,525.0,535.0,521.0,529.71,532.00,-2.29,0.0,529.08,"32,062.00",517.53,"16,963,262.20",295,12.18,14.00,2.35,2.69,0.12,637.00,439.20,,
2025/07/20,294,TAMOR,49.15,540.0,540.0,525.1,525.78,525.10,0.68,0.0,533.13,"44,713.00",529.71,"23,838,033.30",337,-3.93,14.9,-0.74,2.84,-1.4,637.00,439.20,,
2025/07/21,289,TAMOR,43.09,523.0,532.0,520.1,529.09,530.00,-0.91,0.0,526.02,"22,855.00",525.78,"12,022,224.20",267,3.31,11.9,0.63,2.29,0.58,637.00,439.20,,
2025/07/22,297,TAMOR,47.2,530.0,541.0,523.0,539.32,538.00,1.32,0.0,532.30,"66,047.00",529.09,"35,156,889.20",616,10.23,18.0,1.93,3.44,1.3,637.00,439.20,,
2025/07/23,297,TAMOR,50.51,541.0,550.0,530.2,543.95,544.00,-0.05,0.0,540.05,"50,560.00",539.32,"27,305,159.10",517,4.63,19.80,0.86,3.73,0.72,637.00,439.20,,
2025/07/24,306,TAMOR,53.74,540.0,571.0,540.0,565.0,565.00,0.0,0.0,558.73,"112,588.00",543.95,"62,906,590.50",837,21.05,31.0,3.87,5.74,1.11,637.00,439.20,,
2025/07/27,301,TAMOR,51.98,570.0,576.0,545.0,548.74,547.10,1.64,0.0,562.02,"107,446.00",565.00,"60,386,813.10",645,-16.26,31.0,-2.88,5.69,-2.42,637.00,439.20,,
2025/07/28,299,TAMOR,42.74,540.0,547.0,535.0,544.38,547.00,-2.62,0.0,540.71,"35,924.00",548.74,"19,424,489.40",439,-4.36,12.0,-0.79,2.24,0.67,637.00,439.20,,
2025/06/12,290,TAMOR,47.53,518.0,540.0,517.0,523.3,527.90,-4.6,-0.01,526.96,"96,870.00",512.29,"51,046,394.60",498,11.01,23.0,2.15,4.45,-0.7,637.00,385.00,,
2025/06/15,288,TAMOR,48.15,525.0,563.0,520.0,559.88,562.00,-2.12,0.0,548.35,"164,269.00",523.30,"90,076,546.10",934,36.58,43.0,6.99,8.27,2.06,637.00,385.00,,
