Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2023/04/20,256,ULI,28.24,383.0,383.0,378.0,378.0,378.00,0.0,0.0,380.07,"2,558.00",383.00,"972,225.00",121,-5.0,5.00,-1.31,1.32,-0.55,640.00,370.00
2023/04/23,254,ULI,30.16,371.0,376.0,370.0,372.1,372.10,0.0,0.0,371.46,"4,805.00",378.00,"1,784,860.40",208,-5.9,6.0,-1.56,1.62,0.17,640.00,370.00
2023/04/24,259,ULI,31.85,366.0,379.5,365.0,373.0,373.00,0.0,0.0,369.51,"3,643.00",372.10,"1,346,130.50",217,0.9,14.5,0.24,3.97,0.94,640.00,365.00
2023/04/25,253,ULI,34.27,367.1,376.9,367.1,376.0,376.00,0.0,0.0,373.30,"3,640.00",373.00,"1,358,805.00",193,3.0,9.8,0.8,2.67,0.72,635.00,365.00
2023/04/26,253,ULI,40.14,370.0,380.0,370.0,375.0,375.00,0.0,0.0,374.97,"5,500.00",376.00,"2,062,311.00",163,-1.0,10.0,-0.27,2.7,0.01,623.00,365.00
2023/04/27,258,ULI,37.77,370.1,377.5,370.1,373.3,373.30,0.0,0.0,373.76,"2,573.00",375.00,"961,681.00",143,-1.70,7.4,-0.45,2.0,-0.12,623.00,365.00
2023/04/30,260,ULI,33.41,367.0,371.0,367.0,371.0,371.00,0.0,0.0,369.08,"2,040.00",373.30,"752,925.90",168,-2.3,4.0,-0.62,1.09,0.52,590.00,365.00
2023/05/02,259,ULI,33.84,365.0,372.0,365.0,372.0,372.00,0.0,0.0,369.39,"2,186.00",371.00,"807,492.60",154,1.0,7.0,0.27,1.92,0.7,590.00,365.00
2023/05/03,254,ULI,31.9,372.0,372.0,365.1,369.0,369.00,0.0,0.0,367.02,"3,642.00",372.00,"1,336,687.80",118,-3.0,6.9,-0.81,1.89,0.54,570.90,365.00
2023/05/04,265,ULI,33.96,365.0,371.2,363.1,370.0,370.00,0.0,0.0,366.76,"2,234.00",369.00,"819,339.00",142,1.0,8.1,0.27,2.23,0.88,570.90,363.10
2023/05/07,252,ULI,37.31,363.2,371.0,363.0,371.0,371.00,0.0,0.0,366.66,"3,168.00",370.00,"1,161,573.00",169,1.0,8.0,0.27,2.2,1.17,570.90,363.00
2023/05/08,259,ULI,27.87,363.6,370.0,355.0,358.0,358.00,0.0,0.0,358.63,"7,451.00",371.00,"2,672,153.30",194,-13.0,15.00,-3.5,4.23,-0.18,570.90,355.00
2023/03/28,247,ULI,39.31,402.0,411.0,395.0,396.0,396.00,0.0,0.0,403.90,"9,465.00",402.50,"3,822,950.50",289,-6.5,16.0,-1.61,4.05,-2.0,725.00,385.00
2023/03/29,247,ULI,39.34,390.0,404.9,390.0,396.0,396.00,0.0,0.0,397.20,"5,405.00",396.00,"2,146,880.20",173,0.0,14.9,0.0,3.82,-0.3,725.00,385.00
2023/03/30,243,ULI,40.23,391.1,399.3,391.1,392.0,392.00,0.0,0.0,394.61,"8,049.00",396.00,"3,176,200.60",272,-4.0,8.2,-1.01,2.1,-0.67,725.00,385.00
2023/04/03,249,ULI,35.48,384.0,392.0,384.0,388.0,388.00,0.0,0.0,387.20,"8,398.00",391.50,"3,251,736.20",205,-3.5,8.0,-0.89,2.08,0.21,725.00,384.00
