Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2025/08/25,311,UPPER,33.51,194.0,194.0,192.4,193.38,193.30,0.08,0.0,193.11,"101,462.00",193.12,"19,592,964.20",523,0.26,1.6,0.13,0.83,0.14,270.00,192.00,,
2025/08/26,316,UPPER,33.28,192.4,195.0,192.4,193.29,193.40,-0.11,0.0,193.06,"99,620.00",193.38,"19,232,965.00",491,-0.09,2.6,-0.05,1.35,0.12,259.20,192.00,,
2025/08/27,315,UPPER,35.88,197.1,197.1,193.0,195.37,195.20,0.17,0.0,194.32,"96,114.00",193.29,"18,676,974.20",517,2.08,4.1,1.08,2.12,0.54,259.20,192.00,,
2025/08/28,316,UPPER,34.49,199.2,199.2,193.0,193.09,193.30,-0.21,0.0,193.93,"113,914.00",195.37,"22,091,093.20",585,-2.28,6.2,-1.17,3.21,-0.43,258.00,192.00,,
2025/08/31,315,UPPER,35.59,195.5,195.5,192.0,192.12,192.30,-0.18,0.0,192.38,"135,154.00",193.09,"26,000,562.50",623,-0.97,3.5,-0.5,1.82,-0.13,258.00,192.00,,
2025/09/01,320,UPPER,34.05,190.0,198.9,190.0,191.61,191.40,0.21,0.0,191.37,"104,747.00",192.12,"20,045,892.50",616,-0.51,8.9,-0.27,4.68,0.12,258.00,190.00,,
2025/09/02,318,UPPER,32.83,195.4,195.4,190.8,191.04,190.90,0.14,0.0,191.20,"91,111.00",191.61,"17,420,653.40",509,-0.57,4.6,-0.3,2.41,-0.09,258.00,190.00,,
2025/09/03,320,UPPER,32.59,192.0,192.0,190.0,190.07,190.40,-0.33,0.0,190.26,"120,350.00",191.04,"22,898,031.40",559,-0.97,2.0,-0.51,1.05,-0.1,258.00,190.00,,
2025/09/04,311,UPPER,31.66,190.0,191.8,187.1,187.78,187.60,0.18,0.0,188.27,"140,070.00",190.07,"26,371,455.80",755,-2.29,4.7,-1.2,2.51,-0.26,253.70,187.10,,
2025/09/07,328,UPPER,26.9,188.0,189.7,185.2,185.86,186.00,-0.14,0.0,186.74,"77,624.00",187.78,"14,495,450.80",511,-1.92,4.5,-1.02,2.43,-0.47,241.00,185.20,,
