Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2025/08/25,312,USHEC,29.49,450.5,468.0,450.1,464.98,464.10,0.88,0.0,462.10,"5,771.00",457.75,"2,666,797.80",87,7.23,17.9,1.58,3.98,0.62,752.00,410.00,,
2025/08/26,317,USHEC,30.65,460.3,472.0,460.3,462.22,462.20,0.02,0.0,465.28,"19,017.00",464.98,"8,848,301.50",99,-2.76,11.7,-0.59,2.54,-0.66,752.00,410.00,,
2025/08/27,316,USHEC,34.92,457.8,474.9,457.8,472.7,474.00,-1.3,0.0,468.07,"18,272.00",462.22,"8,552,574.80",126,10.48,17.1,2.27,3.74,0.98,752.00,410.00,,
2025/08/28,317,USHEC,39.21,472.1,482.0,472.1,476.12,475.00,1.12,0.0,474.54,"25,885.00",472.70,"12,283,504.70",193,3.42,9.9,0.72,2.1,0.33,752.00,410.00,,
2025/08/31,316,USHEC,37.19,482.0,482.5,462.0,463.97,469.90,-5.93,-0.01,470.68,"12,277.00",476.12,"5,778,558.40",144,-12.15,20.5,-2.55,4.44,-1.45,752.00,410.00,,
2025/09/01,321,USHEC,38.63,463.0,474.0,460.3,472.15,474.00,-1.85,0.0,465.66,"11,290.00",463.97,"5,257,252.60",140,8.18,13.7,1.76,2.98,1.38,752.00,410.00,,
2025/09/02,319,USHEC,38.17,465.1,472.0,465.1,469.42,468.10,1.32,0.0,469.64,"10,085.00",472.15,"4,736,269.70",95,-2.73,6.9,-0.58,1.48,-0.05,752.00,410.00,,
2025/09/03,321,USHEC,30.35,469.0,470.0,461.0,464.99,465.10,-0.11,0.0,465.83,"6,691.00",469.42,"3,116,884.20",59,-4.43,9.0,-0.94,1.95,-0.18,752.00,410.00,,
2025/09/04,312,USHEC,33.71,461.0,469.0,461.0,466.7,469.00,-2.3,0.0,463.37,"19,115.00",464.99,"8,857,385.20",122,1.71,8.0,0.37,1.74,0.71,752.00,410.00,,
2025/09/07,329,USHEC,40.55,460.1,480.0,460.1,466.72,467.00,-0.28,0.0,470.40,"36,560.00",466.70,"17,197,841.90",196,0.02,19.9,0.0,4.33,-0.79,752.00,410.00,,
2025/09/08,315,USHEC,35.48,463.0,475.0,463.0,470.78,475.00,-4.22,-0.01,467.76,"14,307.00",466.72,"6,692,178.10",131,4.06,12.0,0.87,2.59,0.64,752.00,410.00,,
2025/09/18,235,USHEC,17.45,461.4,461.4,453.0,453.0,453.00,0.0,0.0,460.00,60.00,470.78,"27,600.00",2,-17.78,8.4,-3.78,1.85,-1.55,752.00,410.00,,
2025/09/21,324,USHEC,43.94,451.9,489.0,444.0,483.22,489.00,-5.78,-0.01,472.80,"39,104.00",453.00,"18,488,565.30",219,30.22,45.00,6.67,10.14,2.16,752.00,410.00,,
