Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2025/08/25,313,USHL,26.92,743.0,757.0,718.0,746.98,753.00,-6.02,-0.01,743.02,"9,091.00",728.68,"6,754,749.90",115,18.3,39.0,2.51,5.43,0.53,961.00,585.00,,
2025/08/26,318,USHL,23.03,760.0,772.9,740.0,752.6,750.00,2.6,0.0,754.76,"3,795.00",746.98,"2,864,295.80",75,5.62,32.9,0.75,4.45,-0.29,961.00,585.00,,
2025/08/27,317,USHL,38.36,761.0,777.2,755.5,767.44,767.00,0.44,0.0,771.42,"8,571.00",752.60,"6,611,866.90",122,14.84,21.7,1.97,2.87,-0.52,961.00,585.00,,
2025/08/28,318,USHL,39.8,775.0,777.0,735.0,739.74,739.10,0.64,0.0,745.76,"7,186.00",767.44,"5,359,051.40",79,-27.7,42.0,-3.61,5.71,-0.81,961.00,585.00,,
2025/08/31,317,USHL,30.57,726.1,769.5,726.1,738.49,739.00,-0.51,0.0,738.14,"5,776.00",739.74,"4,263,476.90",93,-1.25,43.4,-0.17,5.98,0.05,961.00,588.00,,
2025/09/01,322,USHL,23.8,753.2,753.2,753.2,753.2,753.20,0.0,0.0,753.20,10.00,738.49,"7,532.00",1,14.71,0.0,1.99,0.0,0.0,961.00,588.00,,
2025/09/03,322,USHL,31.28,768.0,778.0,750.1,752.42,751.10,1.32,0.0,766.47,"11,220.00",753.20,"8,599,756.70",190,-0.78,27.9,-0.1,3.72,-1.87,961.00,588.00,,
2025/09/04,313,USHL,25.06,753.0,755.0,727.5,733.94,727.50,6.44,0.01,737.52,"4,500.00",752.42,"3,318,856.50",72,-18.48,27.5,-2.46,3.78,-0.49,961.00,588.00,,
2025/09/07,330,USHL,23.67,740.0,764.0,717.4,724.67,747.90,-23.23,-0.03,730.17,"6,368.00",733.94,"4,649,708.70",100,-9.27,46.6,-1.26,6.5,-0.76,961.00,588.00,,
2025/09/08,316,USHL,22.4,720.0,742.0,718.0,725.11,718.00,7.11,0.01,727.50,"4,440.00",724.67,"3,230,116.70",56,0.44,24.0,0.06,3.34,-0.33,961.00,588.00,,
2025/09/21,325,USHL,33.72,710.7,750.7,696.0,734.73,731.00,3.73,0.01,728.43,"7,181.00",725.11,"5,230,824.50",122,9.62,54.70,1.33,7.86,0.86,961.00,588.00,,
2025/09/23,324,USHL,36.89,736.0,770.0,736.0,769.0,769.00,0.0,0.0,761.59,"4,215.00",734.73,"3,210,097.50",94,34.27,34.0,4.66,4.62,0.96,961.00,588.00,,
2025/09/24,313,USHL,36.04,784.0,784.0,738.8,741.0,741.00,0.0,0.0,754.00,"3,362.00",769.00,"2,534,956.00",53,-28.00,45.2,-3.64,6.12,-1.75,961.00,588.00,,
2025/09/25,323,USHL,33.05,755.0,765.0,736.0,741.2,741.20,0.0,0.0,743.08,"3,640.00",741.00,"2,704,803.90",44,0.2,29.0,0.03,3.94,-0.25,961.00,588.00,678.99,722.10
2025/07/30,323,USHL,35.87,710.0,717.8,696.0,703.43,710.00,-6.57,-0.01,703.48,"7,522.00",721.00,"5,291,551.60",89,-17.57,21.8,-2.44,3.13,-0.01,961.00,585.00,,
2025/07/31,314,USHL,32.28,690.6,704.9,690.6,693.11,692.00,1.11,0.0,695.33,"3,778.00",703.43,"2,626,941.50",67,-10.32,14.3,-1.47,2.07,-0.32,961.00,585.00,,
2025/08/03,315,USHL,30.27,679.3,680.0,662.0,666.4,666.00,0.4,0.0,672.10,"3,385.00",693.11,"2,275,062.00",65,-26.71,18.0,-3.85,2.72,-0.86,961.00,585.00,,
2025/08/04,321,USHL,28.31,670.0,679.7,660.0,675.71,679.70,-3.99,-0.01,667.01,"2,560.00",666.40,"1,707,558.00",77,9.31,19.7,1.4,2.98,1.29,961.00,585.00,,
2025/08/05,321,USHL,35.89,675.0,716.9,665.3,691.19,687.00,4.19,0.01,692.66,"8,059.00",675.71,"5,582,168.20",182,15.48,51.6,2.29,7.76,-0.21,961.00,585.00,,
2025/08/06,316,USHL,30.62,686.1,704.0,680.0,699.51,704.00,-4.49,-0.01,691.21,"2,515.00",691.19,"1,738,390.10",58,8.32,24.00,1.2,3.53,1.19,961.00,585.00,,
2025/08/07,314,USHL,29.87,699.0,703.0,692.0,692.34,692.00,0.34,0.0,695.83,"3,376.00",699.51,"2,349,121.50",86,-7.17,11.0,-1.03,1.59,-0.5,961.00,585.00,,
2025/08/11,320,USHL,32.42,706.0,710.0,681.9,683.38,682.00,1.38,0.0,691.72,"3,427.00",692.34,"2,370,529.00",56,-8.96,28.1,-1.29,4.12,-1.22,961.00,585.00,,
