Date,S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2025/08/25,315,VLBS,33.84,837.0,848.9,827.0,837.23,841.00,-3.77,0.0,833.95,"2,201.00",820.64,"1,835,532.90",45,16.59,21.9,2.02,2.65,0.39,"1,008.00",770.00,,
2025/08/26,320,VLBS,34.99,850.0,850.0,800.0,816.79,816.00,0.79,0.0,813.82,"6,428.00",837.23,"5,231,250.50",94,-20.44,50.0,-2.44,6.25,0.36,"1,008.00",770.00,,
2025/08/27,319,VLBS,34.07,806.0,830.0,806.0,825.45,824.00,1.45,0.0,822.87,"3,978.00",816.79,"3,273,384.00",52,8.66,24.0,1.06,2.98,0.31,"1,008.00",770.00,,
2025/08/28,320,VLBS,32.48,830.1,830.1,803.1,806.31,815.00,-8.69,-0.01,810.84,"3,270.00",825.45,"2,651,458.80",51,-19.14,27.0,-2.32,3.36,-0.56,"1,008.00",770.00,,
2025/08/31,319,VLBS,35.93,808.0,816.1,791.0,791.7,791.00,0.7,0.0,798.44,"9,260.00",806.31,"7,393,568.90",111,-14.61,25.1,-1.81,3.17,-0.85,"1,008.00",770.00,,
2025/09/01,324,VLBS,35.1,807.5,819.0,793.2,816.23,818.00,-1.77,0.0,806.56,"5,490.00",791.70,"4,428,003.50",67,24.53,25.8,3.1,3.25,1.18,"1,008.00",770.00,,
2025/09/02,321,VLBS,32.47,829.0,829.0,805.0,807.68,805.00,2.68,0.0,814.96,"1,241.00",816.23,"1,011,361.50",28,-8.55,24.0,-1.05,2.98,-0.9,"1,008.00",770.00,,
2025/09/03,324,VLBS,32.26,805.0,811.0,797.0,805.9,805.90,0.0,0.0,800.71,"1,142.00",807.68,"914,408.30",23,-1.78,14.0,-0.22,1.76,0.64,"1,008.00",770.00,,
2025/09/04,315,VLBS,34.48,792.1,806.0,792.0,806.0,806.00,0.0,0.0,794.14,"1,631.00",805.90,"1,295,246.60",31,0.1,14.0,0.01,1.77,1.47,"1,008.00",770.00,,
2025/09/07,332,VLBS,31.87,790.6,822.0,790.6,794.0,794.00,0.0,0.0,807.46,793.00,806.00,"640,315.20",21,-12.0,31.4,-1.49,3.97,-1.7,"1,008.00",770.00,,
2025/09/08,318,VLBS,35.12,793.0,800.0,782.0,797.28,800.00,-2.72,0.0,791.39,"3,158.00",794.00,"2,499,206.20",39,3.28,18.0,0.41,2.3,0.74,"1,008.00",770.00,,
2025/09/21,327,VLBS,42.21,781.4,815.0,773.0,811.36,810.00,1.36,0.0,788.91,"6,855.00",797.28,"5,407,986.40",78,14.08,42.00,1.77,5.43,2.77,"1,008.00",770.00,,
2025/09/23,326,VLBS,40.22,815.0,823.0,802.1,822.0,822.00,0.0,0.0,815.47,"3,177.00",811.36,"2,590,733.90",45,10.64,20.9,1.31,2.61,0.79,"1,008.00",770.00,,
2025/09/24,315,VLBS,39.84,806.0,811.0,800.0,805.0,805.00,0.0,0.0,808.44,"2,950.00",822.00,"2,384,892.10",31,-17.00,11.0,-2.07,1.38,-0.43,"1,008.00",770.00,,
2025/09/25,325,VLBS,34.72,801.0,807.0,800.0,807.0,807.00,0.0,0.0,800.33,"1,629.00",805.00,"1,303,735.80",14,2.0,7.0,0.25,0.88,0.83,"1,008.00",770.00,839.80,854.77
2025/07/30,325,VLBS,38.64,980.0,989.0,930.0,933.59,938.20,-4.61,0.0,951.02,"13,018.00",979.89,"12,380,412.60",142,-46.3,59.0,-4.73,6.34,-1.87,"1,090.00",770.00,,
2025/07/31,316,VLBS,36.95,932.0,950.0,921.0,926.6,921.20,5.4,0.01,935.20,"7,606.00",933.59,"7,113,150.80",102,-6.99,29.0,-0.75,3.15,-0.93,"1,090.00",770.00,,
2025/08/03,317,VLBS,32.42,925.0,925.0,889.0,892.26,889.00,3.26,0.0,901.95,"12,129.00",926.60,"10,939,808.40",104,-34.34,36.0,-3.71,4.05,-1.09,"1,057.70",770.00,,
