Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
2021/11/14,316,VLUCL,69.15,618.0,644.0,618.0,627.8,632.32,"47,133.00",617.00,"29,802,964.90",735,10.80,26.00,1.75,4.21,-0.72,512.30,0.00,644.00,365.30
2021/12/26,316,VLUCL,69.15,618.0,644.0,618.0,627.8,632.32,"47,133.00",617.00,"29,802,964.90",735,10.80,26.00,1.75,4.21,-0.72,512.30,0.00,644.00,365.30
2022/02/01,316,VLUCL,69.15,618.0,644.0,618.0,627.8,632.32,"47,133.00",617.00,"29,802,964.90",735,10.80,26.00,1.75,4.21,-0.72,512.30,0.00,644.00,365.30
2022/02/10,316,VLUCL,69.15,618.0,644.0,618.0,627.8,632.32,"47,133.00",617.00,"29,802,964.90",735,10.80,26.00,1.75,4.21,-0.72,512.30,0.00,644.00,365.30
2022/02/14,316,VLUCL,69.15,618.0,644.0,618.0,627.8,632.32,"47,133.00",617.00,"29,802,964.90",735,10.80,26.00,1.75,4.21,-0.72,512.30,0.00,644.00,365.30
2022/02/15,316,VLUCL,69.15,618.0,644.0,618.0,627.8,632.32,"47,133.00",617.00,"29,802,964.90",735,10.80,26.00,1.75,4.21,-0.72,512.30,0.00,644.00,365.30
2022/02/20,316,VLUCL,69.15,618.0,644.0,618.0,627.8,632.32,"47,133.00",617.00,"29,802,964.90",735,10.80,26.00,1.75,4.21,-0.72,512.30,0.00,644.00,365.30
2022/03/07,316,VLUCL,69.15,618.0,644.0,618.0,627.8,632.32,"47,133.00",617.00,"29,802,964.90",735,10.80,26.00,1.75,4.21,-0.72,512.30,0.00,644.00,365.30
2022/03/15,316,VLUCL,69.15,618.0,644.0,618.0,627.8,632.32,"47,133.00",617.00,"29,802,964.90",735,10.80,26.00,1.75,4.21,-0.72,512.30,0.00,644.00,365.30
2022/05/18,316,VLUCL,69.15,618.0,644.0,618.0,627.8,632.32,"47,133.00",617.00,"29,802,964.90",735,10.80,26.00,1.75,4.21,-0.72,512.30,0.00,644.00,365.30
2022/05/21,316,VLUCL,69.15,618.0,644.0,618.0,627.8,632.32,"47,133.00",617.00,"29,802,964.90",735,10.80,26.00,1.75,4.21,-0.72,512.30,0.00,644.00,365.30
2022/05/26,316,VLUCL,69.15,618.0,644.0,618.0,627.8,632.32,"47,133.00",617.00,"29,802,964.90",735,10.80,26.00,1.75,4.21,-0.72,512.30,0.00,644.00,365.30
2022/06/06,316,VLUCL,69.15,618.0,644.0,618.0,627.8,632.32,"47,133.00",617.00,"29,802,964.90",735,10.80,26.00,1.75,4.21,-0.72,512.30,0.00,644.00,365.30
2022/06/10,316,VLUCL,69.15,618.0,644.0,618.0,627.8,632.32,"47,133.00",617.00,"29,802,964.90",735,10.80,26.00,1.75,4.21,-0.72,512.30,0.00,644.00,365.30
2022/06/13,316,VLUCL,69.15,618.0,644.0,618.0,627.8,632.32,"47,133.00",617.00,"29,802,964.90",735,10.80,26.00,1.75,4.21,-0.72,512.30,0.00,644.00,365.30
2022/06/26,316,VLUCL,69.15,618.0,644.0,618.0,627.8,632.32,"47,133.00",617.00,"29,802,964.90",735,10.80,26.00,1.75,4.21,-0.72,512.30,0.00,644.00,365.30
2022/06/28,316,VLUCL,69.15,618.0,644.0,618.0,627.8,632.32,"47,133.00",617.00,"29,802,964.90",735,10.80,26.00,1.75,4.21,-0.72,512.30,0.00,644.00,365.30
2022/07/07,316,VLUCL,69.15,618.0,644.0,618.0,627.8,632.32,"47,133.00",617.00,"29,802,964.90",735,10.80,26.00,1.75,4.21,-0.72,512.30,0.00,644.00,365.30
2022/08/09,316,VLUCL,69.15,618.0,644.0,618.0,627.8,632.32,"47,133.00",617.00,"29,802,964.90",735,10.80,26.00,1.75,4.21,-0.72,512.30,0.00,644.00,365.30
2022/08/21,316,VLUCL,69.15,618.0,644.0,618.0,627.8,632.32,"47,133.00",617.00,"29,802,964.90",735,10.80,26.00,1.75,4.21,-0.72,512.30,0.00,644.00,365.30
2022/08/22,316,VLUCL,69.15,618.0,644.0,618.0,627.8,632.32,"47,133.00",617.00,"29,802,964.90",735,10.80,26.00,1.75,4.21,-0.72,512.30,0.00,644.00,365.30
2022/08/26,316,VLUCL,69.15,618.0,644.0,618.0,627.8,632.32,"47,133.00",617.00,"29,802,964.90",735,10.80,26.00,1.75,4.21,-0.72,512.30,0.00,644.00,365.30
2022/09/06,316,VLUCL,69.15,618.0,644.0,618.0,627.8,632.32,"47,133.00",617.00,"29,802,964.90",735,10.80,26.00,1.75,4.21,-0.72,512.30,0.00,644.00,365.30
2022/09/13,316,VLUCL,69.15,618.0,644.0,618.0,627.8,632.32,"47,133.00",617.00,"29,802,964.90",735,10.80,26.00,1.75,4.21,-0.72,512.30,0.00,644.00,365.30
2022/11/01,316,VLUCL,69.15,618.0,644.0,618.0,627.8,632.32,"47,133.00",617.00,"29,802,964.90",735,10.80,26.00,1.75,4.21,-0.72,512.30,0.00,644.00,365.30
2023/03/13,316,VLUCL,69.15,618.0,644.0,618.0,627.8,632.32,"47,133.00",617.00,"29,802,964.90",735,10.80,26.00,1.75,4.21,-0.72,512.30,0.00,644.00,365.30
2023/03/14,316,VLUCL,69.15,618.0,644.0,618.0,627.8,632.32,"47,133.00",617.00,"29,802,964.90",735,10.80,26.00,1.75,4.21,-0.72,512.30,0.00,644.00,365.30
2023/03/15,316,VLUCL,69.15,618.0,644.0,618.0,627.8,632.32,"47,133.00",617.00,"29,802,964.90",735,10.80,26.00,1.75,4.21,-0.72,512.30,0.00,644.00,365.30
2023/04/16,316,VLUCL,69.15,618.0,644.0,618.0,627.8,632.32,"47,133.00",617.00,"29,802,964.90",735,10.80,26.00,1.75,4.21,-0.72,512.30,0.00,644.00,365.30
2023/05/16,316,VLUCL,69.15,618.0,644.0,618.0,627.8,632.32,"47,133.00",617.00,"29,802,964.90",735,10.80,26.00,1.75,4.21,-0.72,512.30,0.00,644.00,365.30
2023/06/26,316,VLUCL,69.15,618.0,644.0,618.0,627.8,632.32,"47,133.00",617.00,"29,802,964.90",735,10.80,26.00,1.75,4.21,-0.72,512.30,0.00,644.00,365.30
2023/07/11,316,VLUCL,69.15,618.0,644.0,618.0,627.8,632.32,"47,133.00",617.00,"29,802,964.90",735,10.80,26.00,1.75,4.21,-0.72,512.30,0.00,644.00,365.30
2023/07/17,316,VLUCL,69.15,618.0,644.0,618.0,627.8,632.32,"47,133.00",617.00,"29,802,964.90",735,10.80,26.00,1.75,4.21,-0.72,512.30,0.00,644.00,365.30
2023/07/18,316,VLUCL,69.15,618.0,644.0,618.0,627.8,632.32,"47,133.00",617.00,"29,802,964.90",735,10.80,26.00,1.75,4.21,-0.72,512.30,0.00,644.00,365.30
2023/07/23,316,VLUCL,69.15,618.0,644.0,618.0,627.8,632.32,"47,133.00",617.00,"29,802,964.90",735,10.80,26.00,1.75,4.21,-0.72,512.30,0.00,644.00,365.30
2023/07/30,316,VLUCL,69.15,618.0,644.0,618.0,627.8,632.32,"47,133.00",617.00,"29,802,964.90",735,10.80,26.00,1.75,4.21,-0.72,512.30,0.00,644.00,365.30
2023/08/05,316,VLUCL,69.15,618.0,644.0,618.0,627.8,632.32,"47,133.00",617.00,"29,802,964.90",735,10.80,26.00,1.75,4.21,-0.72,512.30,0.00,644.00,365.30
2023/09/05,316,VLUCL,69.15,618.0,644.0,618.0,627.8,632.32,"47,133.00",617.00,"29,802,964.90",735,10.80,26.00,1.75,4.21,-0.72,512.30,0.00,644.00,365.30
2023/09/13,316,VLUCL,69.15,618.0,644.0,618.0,627.8,632.32,"47,133.00",617.00,"29,802,964.90",735,10.80,26.00,1.75,4.21,-0.72,512.30,0.00,644.00,365.30
2023/09/18,316,VLUCL,69.15,618.0,644.0,618.0,627.8,632.32,"47,133.00",617.00,"29,802,964.90",735,10.80,26.00,1.75,4.21,-0.72,512.30,0.00,644.00,365.30
2023/10/01,316,VLUCL,69.15,618.0,644.0,618.0,627.8,632.32,"47,133.00",617.00,"29,802,964.90",735,10.80,26.00,1.75,4.21,-0.72,512.30,0.00,644.00,365.30
2023/10/03,316,VLUCL,69.15,618.0,644.0,618.0,627.8,632.32,"47,133.00",617.00,"29,802,964.90",735,10.80,26.00,1.75,4.21,-0.72,512.30,0.00,644.00,365.30
2023/11/20,316,VLUCL,69.15,618.0,644.0,618.0,627.8,632.32,"47,133.00",617.00,"29,802,964.90",735,10.80,26.00,1.75,4.21,-0.72,512.30,0.00,644.00,365.30
2023/12/03,316,VLUCL,69.15,618.0,644.0,618.0,627.8,632.32,"47,133.00",617.00,"29,802,964.90",735,10.80,26.00,1.75,4.21,-0.72,512.30,0.00,644.00,365.30
2023/12/06,316,VLUCL,69.15,618.0,644.0,618.0,627.8,632.32,"47,133.00",617.00,"29,802,964.90",735,10.80,26.00,1.75,4.21,-0.72,512.30,0.00,644.00,365.30
2023/12/18,316,VLUCL,69.15,618.0,644.0,618.0,627.8,632.32,"47,133.00",617.00,"29,802,964.90",735,10.80,26.00,1.75,4.21,-0.72,512.30,0.00,644.00,365.30
2023/12/21,303,VLUCL,53.79,365.3,401.8,365.3,401.8,401.20,"7,730.00",365.30,"3,101,246.90",825,36.50,36.50,9.99,9.99,0.15,,,401.80,365.30
2023/12/24,308,VLUCL,62.8,409.8,441.9,409.8,441.9,441.38,"9,105.00",401.80,"4,018,795.40",943,40.1,32.10,9.98,7.83,0.12,,,441.90,365.30
2023/12/27,306,VLUCL,66.25,450.7,486.0,450.7,486.0,485.68,"18,977.00",441.90,"9,216,836.20","1,906",44.1,35.30,9.98,7.83,0.06,,,486.00,365.30
2023/12/28,302,VLUCL,64.21,495.7,534.6,495.7,534.6,534.48,"46,854.00",486.00,"25,042,686.90","4,216",48.6,38.9,10.0,7.85,0.02,,,534.60,365.30
2024/01/01,305,VLUCL,62.7,545.2,588.0,523.9,549.0,552.70,"150,275.00",534.60,"83,056,365.70","14,025",14.4,64.1,2.69,12.24,-0.67,,,588.00,365.30
2024/01/02,304,VLUCL,60.96,555.0,570.0,530.2,540.4,541.05,"107,187.00",549.00,"57,993,109.00","8,189",-8.6,39.8,-1.57,7.51,-0.12,,,588.00,365.30
2024/01/03,305,VLUCL,54.0,545.0,545.0,530.0,542.0,535.72,"60,268.00",540.40,"32,286,910.00","5,054",1.60,15.0,0.3,2.83,1.16,,,588.00,365.30
2024/01/04,302,VLUCL,52.2,543.0,595.0,542.0,585.0,575.71,"68,836.00",542.00,"39,629,389.40","3,978",43.00,53.00,7.93,9.78,1.59,,,595.00,365.30
2024/01/07,303,VLUCL,48.98,596.7,607.0,555.5,559.0,575.86,"76,780.00",585.00,"44,214,877.20","2,544",-26.0,51.5,-4.44,9.27,-3.02,,,607.00,365.30
2024/01/08,308,VLUCL,50.13,559.0,595.4,548.0,586.0,572.84,"52,235.00",559.00,"29,922,558.50","2,483",27.0,47.40,4.83,8.65,2.24,,,607.00,365.30
2024/01/09,308,VLUCL,47.34,586.0,597.0,562.0,567.0,579.29,"43,715.00",586.00,"25,323,808.00","1,681",-19.0,35.0,-3.24,6.23,-2.17,,,607.00,365.30
2024/01/10,300,VLUCL,44.13,568.0,573.1,555.0,559.0,562.79,"27,275.00",567.00,"15,350,013.50","1,411",-8.0,18.10,-1.41,3.26,-0.68,,,607.00,365.30
2024/01/11,306,VLUCL,44.3,550.0,568.0,548.0,560.0,558.43,"27,247.00",559.00,"15,215,588.30","1,254",1.00,20.0,0.18,3.65,0.28,,,607.00,365.30
